C15 - Congiuntivo dopo congiunzioni
Я хочу (volere) уехать (andare via), прежде чем (prima che) начнётся дождь (piovere).;Voglio andare via prima che piova.
Она ушла (partire), так и не попрощавшись (salutare).;È partita senza che salutasse.
Мы не пойдем (andare), если только (a meno che) ты не придёшь (venire) с нами (con noi).;Non andremo a meno che tu venga con noi.
Я сделаю (fare) это, при условии, что (purché) ты поможешь (aiutare) мне.;Lo farò purché tu mi aiuti.
Хотя (sebbene) он был усталым (stanco), он продолжал (continuare) работать (lavorare).;Sebbene fosse stanco, ha continuato a lavorare.
Она пела (cantare) так, словно (come se) её никто (nessuno) не слышал (sentire).;Cantava come se nessuno la sentisse.
Давайте встретимся (incontrare) до того, как (prima che) ты уедешь (partire).;Incontriamoci prima che tu parta.
Они уехали (partire), не попрощавшись (salutare) с хозяевами (padrone di casa).;Sono partiti senza salutare i padroni di casa.
Я не приму (accettare) это, если только (a meno che) ты не объяснишь (spiegare) ситуацию (situazione).;Non accetto a meno che tu non spieghi la situazione.
Можно (potere) остаться (restare) здесь (qui), при условии что не будет слишком (troppo) шумно (rumoroso).;Si può stare qui purché non sia troppo rumoroso.
Хотя (benché) я изучаю (studiare) язык (lingua) уже год (anno), я всё ещё (ancora) делаю (fare) ошибки (errore).;Benché studi la lingua da un anno, faccio ancora errori.
Он смотрел (guardare) на меня (me) так, словно (come se) знал (conoscere) мою тайну (segreto).;Mi guardava come se conoscesse il mio segreto.
Позвони (chiamare) мне до того, как (prima che) я лягу (andare) спать (dormire).;Chiamami prima che io vada a dormire.
Мы закончили (finire) работу (lavoro), не попросив (chiedere) помощи (aiuto).;Abbiamo finito il lavoro senza chiedere aiuto.
Она не выйдет (uscire) из дома (casa), если только (a meno che) не перестанет (smettere) дождь (piovere).;Non uscirà di casa a meno che non smetta di piovere.
Ты можешь (potere) пойти (andare) туда (lì), если будешь (essere) осторожен (prudente).;Puoi andarci purché tu sia prudente.
Хотя (sebbene) фильм (film) был длинным (lungo), он был очень интересным (interessante).;Sebbene il film fosse lungo, era molto interessante.
Она разговаривала (parlare) со мной (me) так, словно была (essere) моей старой (vecchio) подругой (amico).;Mi parlava come se fosse la mia vecchia amica.
Давайте пообедаем (pranzare) до того, как (prima che) начнется (iniziare) встреча (riunione).;Pranziamo prima che la riunione inizi.
Он ушел (andare via), не заплатив (pagare) счёт (conto).;È andato via senza pagare il conto.
Мы не сдадимся (arrendersi), если только (a meno che) не станет (diventare) абсолютно (assolutamente) невозможно (impossibile).;Non ci arrenderemo a meno che non diventi assolutamente impossibile.
Я подожду (aspettare), пока вы не будете (essere) готовы (pronto).;Aspetto finché non siate pronti.
Хотя (benché) погода (tempo) была ужасной (orribile), мы отлично (bene) провели (passare) время (tempo).;Benché il tempo fosse orribile, ci siamo divertiti molto.
Он улыбался (sorridere) так, словно ничего (nulla) не случилось (succedere).;Sorrideva come se non fosse successo nulla.
Она хочет (volere) уйти (andarsene), прежде чем (prima che) начнется (iniziare) презентация (presentazione).;Vuole andarsene prima che la presentazione cominci.
Они уехали (partire), не взяв (prendere) с собой (con sé) документы (documento).;Sono partiti senza prendere i documenti.
Не открывай (aprire) дверь (porta), если только (a meno che) ты не знаешь (sapere), кто (chi) там (lì).;Non aprire la porta a meno che tu non sappia chi è lì.
Она останется (restare) здесь (qui), при условии что вы не попросите (chiedere) её уйти (andarsene).;Rimarrà qui purché voi non le chiediate di andarsene.
Хотя (sebbene) он был стар (vecchio), он был полон (pieno) энергии (energia).;Sebbene fosse vecchio, era pieno di energia.
Он бежал (correre) так, словно его преследовали (inseguire).;Correva come se qualcuno lo inseguisse.
Давайте обсудим (discutere) это до того, как (prima che) примем (prendere) решение (decisione).;Discutiamolo prima che prendiamo una decisione.
Мы закончили (finire) проект (progetto), не столкнувшись (avere) с проблемами (problema).;Abbiamo finito il progetto senza avere problemi.
Она не согласится (acconsentire), если только (a meno che) ты не будешь (essere) искренним (sincero).;Non acconsentirà a meno che tu non sia sincero.
Ты можешь (potere) остаться (restare), если будешь соблюдать (rispettare) правила (regola).;Puoi rimanere purché tu rispetti le regole.
Хотя (benché) ресторан (ristorante) был дорогим (caro), еда (cibo) была посредственной (mediocre).;Benché il ristorante fosse caro, il cibo era mediocre.
Она вела себя (comportarsi) так, словно ничего (nulla) не случилось (succedere).;Si comportava come se non fosse successo nulla.
Позвони (chiamare) мне до того, как (prima che) я выйду (uscire) из дома (casa).;Chiamami prima che io esca di casa.
Он ушел (andare via), не сказав (dire) спасибо (grazie).;È andato via senza dire grazie.
Мы не поедем (andare), если только (a meno che) не будет (esserci) хорошей (bello) погоды (tempo).;Non andremo a meno che non ci sia bel tempo.
Она продолжит (continuare) работу (lavoro), пока не закончит (finire) проект (progetto).;Continuerà a lavorare finché non finisca il progetto.
Хотя (sebbene) он был богат (ricco), он был очень (molto) скромным (modesto).;Sebbene fosse ricco, era molto modesto.
Он говорил (parlare) так, словно знал (sapere) всё (tutto) на свете (mondo).;Parlava come se sapesse tutto del mondo.
