B12 - Pronomi Indiretti
Я говорю ему (parlare).;Gli parlo.
Ты пишешь мне (scrivere)?;Mi scrivi?
Я звоню ей (telefonare).;Le telefono.
Она отвечает ему (rispondere).;Gli risponde.
Мы дарим тебе книгу (libro).;Ti regaliamo un libro.
Я объясняю вам правило (regola).;Vi spiego la regola.
Вы помогаете нам (aiutare).;Ci aiutate.
Я посылаю ему письмо (lettera).;Gli mando una lettera.
Она говорит ей правду (verità).;Le dice la verità.
Мы показываем вам дом (casa).;Vi mostriamo la casa.
Ты задаешь мне вопрос (domanda)?;Mi fai una domanda?
Я советую ему ресторан (ristorante).;Gli consiglio un ristorante.
Она верит нам (credere).;Ci crede.
Мы предлагаем тебе чай (tè).;Ti offriamo un tè.
Я обещаю ей помощь (aiuto).;Le prometto aiuto.
Вы отвечаете ему (rispondere).;Gli rispondete.
Я рекомендую вам этот курс (corso).;Vi raccomando questo corso.
Она напоминает мне встречу (incontro).;Mi ricorda l'incontro.
Мы желаем ему удачи (fortuna).;Gli auguriamo fortuna.
Ты передаешь ей ключи (chiavi).;Le passi le chiavi.
Я думаю об этом (pensare).;Ci penso.
Это ему подходит (addice).;Gli si addice.
Мы пишем тебе сообщение (messaggio).;Ti scriviamo un messaggio.
Я говорю ей спокойно (calma).;Le parlo con calma.
Вы звоните нам вечером (sera).;Ci telefonate la sera.
Я отправляю ему посылку (pacco).;Gli spedisco un pacco.
Она доверяет вам (fidarsi).;Si fida di voi.
Мы желаем ей доброго дня (giornata).;Le auguriamo buona giornata.
Ты рассказываешь мне историю (storia).;Mi racconti una storia.
Я клянусь ему (giurare).;Gli giuro.
Это принадлежит нам (appartenere).;Ci appartiene.
Мы предлагаем тебе место (posto).;Ti offriamo un posto.
Я представляю ей друга (amico).;Le presento un amico.
Вы аплодируете ему (applaudire).;Gli applaudite.
Я благодарю вас (ringraziare).;Vi ringrazio.
Мне нужна ручка (penna).;Mi serve una penna.
Мы разрешаем ему войти (entrare).;Gli permettiamo di entrare.
Ты задаешь ей вопрос (domanda).;Le fai una domanda.
Она предлагает вам помощь (aiuto).;Vi propone aiuto.
Мы сообщаем тебе новость (notizia).;Ti comunichiamo una notizia.
