C05 - Discorso Indiretto: main verb in past
Он сказал, что работает дома (casa).;Ha detto che lavorava a casa.
Она сказала, что устала (stanca).;Ha detto che era stanca.
Марко сказал, что знает ответ (risposta).;Marco ha detto che sapeva la risposta.
Я сказал, что не понимаю вопрос (domanda).;Ho detto che non capivo la domanda.
Они сказали, что ждут поезд (treno).;Hanno detto che aspettavano il treno.
Она сказала, что живет в Риме (Roma).;Ha detto che viveva a Roma.
Он сказал, что часто приходит поздно (tardi).;Ha detto che veniva spesso tardi.
Мы сказали, что хотим начать (iniziare).;Abbiamo detto che volevamo iniziare.
Он сказал, что уже закончил работу (lavoro).;Ha detto che aveva già finito il lavoro.
Она сказала, что потеряла ключи (chiavi).;Ha detto che aveva perso le chiavi.
Я сказал, что видел этот фильм (film).;Ho detto che avevo visto quel film.
Они сказали, что купили билеты (biglietti).;Hanno detto che avevano comprato i biglietti.
Марко сказал, что был в Италии (Italia).;Marco ha detto che era stato in Italia.
Мы сказали, что уже поговорили с директором (direttore).;Abbiamo detto che avevamo già parlato con il direttore.
Она сказала, что получила письмо (lettera).;Ha detto che aveva ricevuto la lettera.
Он сказал, что не понял правило (regola).;Ha detto che non aveva capito la regola.
Он сказал, что придет завтра (domani).;Ha detto che sarebbe venuto il giorno dopo.
Она сказала, что позвонит позже (più tardi).;Ha detto che avrebbe telefonato più tardi.
Мы сказали, что начнем после обеда (pranzo).;Abbiamo detto che avremmo iniziato dopo pranzo.
Они сказали, что уедут вечером (sera).;Hanno detto che sarebbero partiti la sera.
Я сказал, что помогу тебе (aiutare).;Ho detto che ti avrei aiutato.
Марко сказал, что принесет документы (documenti).;Marco ha detto che avrebbe portato i documenti.
Она сказала, что купит хлеб (pane).;Ha detto che avrebbe comprato il pane.
Он сказал, что объяснит все позже (tutto).;Ha detto che avrebbe spiegato tutto più tardi.
Он сказал мне прийти (venire).;Mi ha detto di venire.
Она сказала мне подождать (aspettare).;Mi ha detto di aspettare.
Они сказали нам не опаздывать (ritardo).;Ci hanno detto di non arrivare in ritardo.
Марко сказал мне быть осторожным (prudente).;Marco mi ha detto di essere prudente.
Она сказала ему закрыть дверь (porta).;Gli ha detto di chiudere la porta.
Он сказал нам не говорить об этом (parlare).;Ci ha detto di non parlarne.
Директор попросил, чтобы мы пришли раньше (prima).;Il direttore ha chiesto che venissimo prima.
Она хотела, чтобы я остался дома (casa).;Voleva che rimanessi a casa.
Он сказал, что думал, что она здесь (qui).;Ha detto che pensava che lei fosse lì.
Она сказала, что надеялась, что он придет (venire).;Ha detto che sperava che lui venisse.
Я сказал, что боялся, что они опоздают (ritardo).;Ho detto che temevo che arrivassero in ritardo.
Он сказал, что не верил, что это возможно (possibile).;Ha detto che non credeva che fosse possibile.
Она сказала, что хотела, чтобы мы поняли (capire).;Ha detto che voleva che capissimo.
Мы сказали, что сомневались, что он знает правду (verità).;Abbiamo detto che dubitavamo che sapesse la verità.
Он спросил, где я живу (vivere).;Ha chiesto dove vivevo.
Она спросила, когда мы начнем (iniziare).;Ha chiesto quando avremmo iniziato.
