A15 - Condizionale di cortesia
Я хотел бы кофе;Vorrei un caffè
Я хотел бы воду;Vorrei dell'acqua
Я хотел бы пиццу;Vorrei una pizza
Я хотел бы меню;Vorrei il menù
Я хотел бы заплатить;Vorrei pagare
Я хотел бы стол;Vorrei un tavolo
Я мог бы придти завтра;Potrei venire domani
Я мог бы помочь;Potrei aiutare
Я мог бы сделать это;Potrei fare questo
Я мог бы остаться здесь;Potrei restare qui
Я мог бы работать;Potrei lavorare
Я должен был бы учиться;Dovrei studiare
Я должен был бы работать;Dovrei lavorare
Я должен был бы пойти домой;Dovrei andare a casa
Я должен был бы начать рано;Dovrei iniziare presto
Я должен был бы сказать правду;Dovrei dire la verità
Что бы вы хотели?;Cosa vorrebbe?
Что бы Вы хотели выпить?;Che cosa vorrebbe bere?
Вы хотели бы стол на двоих?;Vorrebbe un tavolo per due?
Вы хотели бы вина?;Vorrebbe del vino
Вы могли бы помочь?;Potrebbe aiutare?
Вы могли бы сказать это?;Potrebbe dire questo?
Вы могли бы подождать?;Potrebbe aspettare
Вы могли бы повторить?;Potrebbe ripetere
Вы должны были бы знать это;Dovrebbe sapere questo
Вы должны были бы попробовать;Dovrebbe provare
Вы должны были бы видеть это;Dovrebbe vedere questo
Мне бы это понравилось;Mi piacerebbe
Мне бы это понравилось;Mi piacerebbe
Мне бы хотелось посмотреть;Mi piacerebbe vedere
Мне бы хотелось поехать;Mi piacerebbe andare
Это было бы хорошо;Sarebbe bene
Это было бы интересно;Sarebbe interessante
Это было бы невозможно;Sarebbe impossibile
Это было бы лучше;Sarebbe meglio
Это было бы прекрасно;Sarebbe bellissimo
Это было бы возможно;Sarebbe possibile
Это было бы трудно;Sarebbe difficile
Это было бы идеально;Sarebbe ideale
Это было бы легко;Sarebbe facile
Это было бы важно;Sarebbe importante
Это было бы полезно;Sarebbe utile
Это было бы приятно;Sarebbe piacevole
Это было бы интересно;Sarebbe interessante
