B02 - Participio Passato (V3 forms -ato/-uto/-ito + irregulars)
Это сделанная работа.;È un lavoro fatto.
Это сказанное слово.;È una parola detta.
Это увиденный фильм.;È un film visto.
Это прочитанная книга.;È un libro letto.
Это взятый карандаш.;È una matita presa.
Это открытая дверь.;È una porta aperta.
Это закрытое окно.;È una finestra chiusa.
Это написанное письмо.;È una lettera scritta.
Это поставленная чашка.;È una tazza messa.
Это приготовленная еда.;È il cibo preparato.
Она завершённая задача.;È un compito finito.
Он очищенный стол.;È un tavolo pulito.
Это купленные продукты.;Sono le spese comprate.
Это приготовленный обед.;È il pranzo preparato.
Это убранная комната.;È la camera pulita.
Это сделанная постель.;È il letto fatto.
Это открытая дверь.;È la porta aperta.
Это закрытое окно.;È la finestra chiusa.
Это написанное письмо.;È la lettera scritta.
Это прочитанная книга.;È il libro letto.
Это потерянный ключ.;È la chiave persa.
Это найденный кошелёк.;È il portafoglio trovato.
Это услышанная музыка.;È la musica sentita.
Это взятая книга.;È il libro preso.
Это поставленная вода.;È l'acqua messa.
Это поставленный стол.;È il tavolo messo.
Это вставший человек.;È una persona alzata.
Это севшая девушка.;È una ragazza seduta.
Это вышедший мужчина.;È un uomo uscito.
Это вернувшийся мальчик.;È un ragazzo tornato.
Это пришедшая женщина.;È una donna arrivata.
Это умерший старик.;È un vecchio morto.
Это родившийся ребёнок.;È un bambino nato.
Это оставшаяся девушка.;È una ragazza rimasta.
Это ставшая подруга.;È un'amica diventata.
Это сказанная правда.;È la verità detta.
Это сделанная ошибка.;È un errore fatto.
Это изменённый дом.;È una casa cambiata.
Это посещённая страна.;È un paese visitato.
Это прошедший год.;È un anno passato.
