B11 - Pronomi Diretti
Я вижу тебя (vedere).;Ti vedo.
Ты слышишь меня (sentire)?;Mi senti?
Я встречаю его (incontrare).;Lo incontro.
Она знает ее (conoscere).;La conosce.
Мы ждем их (aspettare).;Li aspettiamo.
Я люблю тебя (amare).;Ti amo.
Вы понимаете меня (capire).;Mi capite.
Я спрашиваю это (chiedere).;Lo chiedo.
Она зовет ее (chiamare).;La chiama.
Мы видим их, девушек (vedere).;Le vediamo.
Я слушаю вас (ascoltare).;Vi ascolto.
Они находят их (trovare).;Li trovano.
Я провожу тебя (accompagnare).;Ti accompagno.
Она ждет его (aspettare).;Lo aspetta.
Мы зовем их, девушек (chiamare).;Le chiamiamo.
Ты увидишь меня (vedere).;Mi vedrai.
Я уже видел его (già).;L'ho già visto.
Она потеряла ее (perdere).;L'ha persa.
Мы встретили их (incontrare).;Li abbiamo incontrati.
Я забыл тебя (dimenticare).;Ti ho dimenticato.
Ты понял меня (capire)?;Mi hai capito?
Она нашла его (trovare).;Lo ha trovato.
Мы пригласили их, девушек (invitare).;Le abbiamo invitate.
Я услышал вас (sentire).;Vi ho sentito.
Они приняли их (accettare).;Li hanno accettati.
Я знаю ее (conoscere).;La conosco.
Ты видел его (vedere)?;Lo hai visto?
Она изучает их, темы (studiare).;Le studia.
Мы благодарим тебя (ringraziare).;Ti ringraziamo.
Я понимаю их (capire).;Li capisco.
Ты ждешь ее (aspettare).;La aspetti.
Она любит меня (amare).;Mi ama.
Мы уважаем его (rispettare).;Lo rispettiamo.
Я помню вас (ricordare).;Vi ricordo.
Ты видишь их (vedere)?;Li vedi?
Она находит нас (trovare).;Ci trova.
Мы спасем тебя (salvare).;Ti salveremo.
Я создам их, страницы (creare).;Le creerò.
Она купит его, билет (comprare).;Lo comprerà.
Мы прочитаем их, письма (leggere).;Li leggeremo.
