B14 - Ci e Ne
Я иду туда (andare).;Ci vado.
Мы идем туда (andare).;Ci andiamo.
Я не хочу идти туда (andare).;Non ci voglio andare.
Ты уже был в Риме (Roma).;Ci sei già stato a Roma.
Она живет там (vivere).;Ci vive.
Я работаю там (lavorare).;Ci lavoro.
Мы думаем об этом (pensare).;Ci pensiamo.
Вы верите в это (credere).;Ci credete.
Нам это нужно (bisogno).;Ne abbiamo bisogno.
Ты говоришь об этом (parlare).;Ne parli.
Они часто ходят туда (spesso).;Ci vanno spesso.
Она остается там (restare).;Ci resta.
Я беру две штуки из них (due).;Ne prendo due.
Он покупает три штуки из них (tre).;Ne compra tre.
Мы хотим шесть штук из них (sei).;Ne vogliamo sei.
Она знает многих из них (molti).;Ne conosce molti.
У меня есть пять штук из них (cinque).;Ne ho cinque.
Мне нужны несколько штук из них (alcuni).;Me ne servono alcuni.
Он берет немного из этого (poco).;Ne prende poco.
Мы видим многих из них (molti).;Ne vediamo molti.
Она говорит об этом (parlare).;Ne parla.
Они думают об этом (pensare).;Ci pensano.
Я мечтаю об этом (sognare).;Lo sogno.
Ты помнишь об этом (ricordarsi).;Te ne ricordi.
Он слышал об этом (sentire).;Ne ha sentito parlare.
Мы вышли оттуда (uscire).;Ne siamo usciti.
Вы уходите оттуда (andare via).;Ve ne andate.
Она убегает оттуда (scappare).;Ne scappa.
Я возвращаюсь оттуда (tornare).;Ne torno.
Они приехали оттуда (arrivare).;Ne sono arrivati.
У него осталось только три (rimanere).;Gliene sono rimasti solo tre.
Она купила десять штук из них (dieci).;Ne ha comprati dieci.
Мы видели вчера пять штук из них (ieri).;Ne abbiamo visti cinque ieri.
Ты знаешь некоторых из них (alcuni).;Ne conosci alcuni.
Он нашел многих из них (molti).;Ne ha trovati molti.
Она потеряла все из них (tutti).;Li ha persi tutti.
Мы говорили об этом вчера (ieri).;Ne abbiamo parlato ieri.
Я ничего об этом не знаю (nulla).;Non ne so nulla.
Ты об этом не думаешь (pensare).;Non ci pensi.
Там много людей (persone).;Ci sono molte persone.
