B21 - Negazione Estesa
Я ничего не знаю.;Non so niente.
Я ничего не вижу.;Non vedo niente.
Я ничего не слышу.;Non sento niente.
Он никого не знает.;Non conosce nessuno.
Здесь никого нет.;Non c'è nessuno qui.
Никто не пришёл.;Non è venuto nessuno.
Ничего не изменилось.;Non è cambiato niente.
Я никогда не курю.;Non fumo mai.
Я больше не работаю там.;Non lavoro più lì.
Она больше не живёт в Риме.;Non vive più a Roma.
Мы больше не ждём.;Non aspettiamo più.
Я ещё не готов.;Non sono ancora pronto.
Она ещё не пришла.;Non è ancora arrivata.
Мы ещё не закончили.;Non abbiamo ancora finito.
Я не хочу ни кофе, ни чай.;Non voglio né caffè né tè.
Он не говорит ни по-английски, ни по-французски.;Non parla né inglese né francese.
Я не ем ни мясо, ни рыбу.;Non mangio né carne né pesce.
Я тоже не понимаю.;Neanch'io capisco.
Я тоже не пришёл.;Neanch'io sono venuto.
Он даже не ответил.;Non ha nemmeno risposto.
Она даже не поздоровалась.;Non ha neanche salutato.
Я совсем не устал.;Non sono affatto stanco.
Это совсем не сложно.;Non è affatto difficile.
Я совсем не боюсь.;Non ho affatto paura.
Я совсем не согласен.;Non sono affatto d'accordo.
Я ничего не покупаю.;Non compro niente.
Он никому не звонит.;Non telefona a nessuno.
Мы никого не ждём.;Non aspettiamo nessuno.
Здесь никто не работает.;Qui non lavora nessuno.
Мне ничего не нужно.;Non mi serve niente.
Я больше ничего не говорю.;Non dico più niente.
Она никогда никому не пишет.;Non scrive mai a nessuno.
Мы ещё никого не видели.;Non abbiamo ancora visto nessuno.
Я не хочу больше ничего.;Non voglio più niente.
Никто ничего не понял.;Nessuno ha capito niente.
