C09 - Trapassato Remoto
Русское предложение;Итальянский перевод
Когда он пришёл (arrivare), она уже ушла (andare);Quando lui arrivò, lei era già andata
Когда я позвонил (chiamare), он уже ушёл (partire);Quando chiamai, lui era già partito
Когда мы прибыли (arrivare), поезд (treno) уже ушёл (partire);Quando arrivammo, il treno era già partito
Когда она проснулась (svegliarsi), дети (bambino) уже встали (svegliare);Quando lei si svegliò, i bambini erano già svegli
Когда он пришёл (arrivare) домой (casa), жена (moglie) уже приготовила (preparare) ужин (cena);Quando lui tornò a casa, la moglie aveva già preparato la cena
Когда мы прибыли (arrivare) на станцию (stazione), поезд (treno) уже ушёл (partire);Quando arrivammo alla stazione, il treno era già partito
Когда она вошла (entrare) в комнату (stanza), все (tutti) уже замолчали (tacere);Quando lei entrò nella stanza, tutti erano già zitti
Когда я пришёл (arrivare), урок (lezione) уже закончился (finire);Quando arrivai, la lezione era già finita
Когда он открыл (aprire) дверь (porta), собака (cane) уже убежала (scappare);Quando lui aprì la porta, il cane era già scappato
Когда мы вышли (uscire) из дома (casa), уже пошёл (piovere) дождь (pioggia);Quando uscimmo di casa, era già piovuto
Как только он вошёл (entrare), она встала (alzarsi);Appena lui entrò, lei si alzò
Как только я увидел (vedere) его, понял (capire) правду (verità);Appena lo vidi, capii la verità
Как только она пришла (arrivare), начался (iniziare) дождь (piovere);Appena lei arrivò, iniziò a piovere
Как только мы сели (sedersi), поезд (treno) тронулся (partire);Appena ci sedemmo, il treno partì
Как только он проснулся (svegliarsi), зазвонил (squillare) телефон (telefono);Appena lui si svegliò, il telefono squillò
Как только она открыла (aprire) глаза (occhio), всё кончилось (finire);Appena lei aprì gli occhi, tutto era finito
Как только я вошёл (entrare), все посмотрели (guardare) на меня;Appena entrai, tutti guardarono me
После того как он ушёл (partire), она заплакала (piangere);Dopo che lui partì, lei pianse
После того как мы поели (mangiare), пошли (andare) гулять (passeggiata);Dopo che mangiammo, andammo a fare una passeggiata
После того как она закончила (finire) работу (lavoro), ушла (andare) домой (casa);Dopo che lei finì il lavoro, tornò a casa
После того как он пришёл (arrivare), началась (iniziare) встреча (riunione);Dopo che lui arrivò, l'inizio della riunione
После того как я проснулся (svegliarsi), выпил (bere) кофе (caffè);Dopo che mi svegliai, bevvi un caffè
После того как мы ушли (andarsene), они продолжили (continuare) говорить (parlare);Dopo che ce ne andammo, loro continuarono a parlare
После того как она увидала (vedere) его, улыбнулась (sorridere);Dopo che lei lo vide, sorrise
После того как он сел (sedersi), автобус (autobus) приехал (arrivare);Dopo che lui si sedette, l'autobus arrivò
Когда он пришёл (arrivare), я уже всё сделал (fare);Quando lui arrivò, io avevo già fatto tutto
Когда она позвонила (chiamare), я уже ушёл (partire);Quando lei chiamò, io ero già partito
Когда мы пришли (arrivare), они уже поужинали (cenare);Quando arrivammo, loro avevano già cenato
Когда он проснулся (svegliarsi), солнце (sole) уже взошло (sorgere);Quando lui si svegliò, il sole era già sorto
Когда я открыл (aprire) книгу (libro), она уже заснула (addormentarsi);Quando aprii il libro, lei era già addormentata
Когда мы вошли (entrare), фильм (film) уже начался (iniziare);Quando entammo, il film era già iniziato
Когда она пришла (arrivare), он уже ждал (aspettare);Quando lei arrivò, lui era già in attesa
Когда он вышел (uscire), дождь (pioggia) уже закончился (finire);Quando lui uscì, la pioggia era finita
Когда я вернулся (tornare), они уже ушли (andare);Quando tornai, loro erano già andati
Как только она вошла (entrare), он встал (alzarsi);Appena lei entrò, lui si alzò
Как только мы увидели (vedere) море (mare), остановились (fermare);Appena vedemmo il mare, ci fermammo
Как только он заговорил (parlare), все замолчали (tacere);Appena lui parlò, tutti tacquero
Как только я вошёл (entrare), она улыбнулась (sorridere);Appena entrai, lei sorrise
Как только они ушли (andarsene), мы сели (sedersi);Appena se ne andarono, ci sedemmo
Как только она пришла (arrivare), он обернулся (voltarsi);Appena lei arrivò, lui si voltò
После того как он уехал (andarsene), она заплакала (piangere);Dopo che lui se ne andò, lei pianse
После того как мы вышли (uscire), пошёл (nevicare) снег (neve);Dopo che uscimmo, iniziò a nevicare
После того как она пришла (arrivare), началась (iniziare) вечеринка (festa);Dopo che lei arrivò, la festa iniziò
После того как он проснулся (svegliarsi), зазвонил (suonare) будильник (sveglia);Dopo che lui si svegliò, la sveglia suonò
После того как я закончил (finire), ушёл (andare) домой (casa);Dopo che finii, tornai a casa
После того как мы поужинали (cenare), посмотрели (guardare) телевизор (televisione);Dopo che cenammo, guardammo la televisione
