A01 - Presente Indicativo
Я говорю по-итальянски;Parlo italiano
Ты понимаешь итальянский?;Capisci italiano?
Вы изучаете итальянский?;Studiate italiano?
Мы учимся в Риме;Studiamo a Roma
Они говорят по-русски;Parlano russo
Я не понимаю;Non capisco
Ты не говоришь по-английски;Non parli inglese
Мы не изучаем испанский;Non studiamo spagnolo
Она не работает здесь;Non lavora qui
Они не живут в Милане;Non vivono a Milano
Я студент;Sono studente
Ты учитель;Sei insegnante
Он врач;È dottore
Она инженер;È ingegnere
Мы студенты;Siamo studenti
Вы учителя;Siete insegnanti
Они врачи;Sono medici
Я не студент;Non sono studente
Ты не учитель;Non sei insegnante
Он не врач;Non è dottore
Она не инженер;Non è ingegnere
Мы не студенты;Non siamo studenti
Вы не учителя;Non siete insegnanti
Они не врачи;Non sono medici
У меня есть время;Ho tempo
У тебя есть книга?;Hai un libro?
У него есть машина;Ha una macchina
У неё есть семья;Ha una famiglia
У нас есть проблема;Abbiamo un problema
У вас есть вопросы?;Avete domande?
У них есть дети;Hanno figli
У меня нет времени;Non ho tempo
У тебя нет книги;Non hai un libro
У него нет машины;Non ha una macchina
У неё нет семьи;Non ha una famiglia
У нас нет проблемы;Non abbiamo un problema
У вас нет вопросов;Non avete domande
У них нет детей;Non hanno figli
Я иду домой;Vado a casa
Ты идешь в школу;Vai a scuola
Он идет на работу;Va al lavoro
Она идет в театр;Va a teatro
Мы идем в парк;Andiamo al parco
Вы идете на рынок;Andate al mercato
Они идут в ресторан;Vanno al ristorante
Я не иду домой;Non vado a casa
Ты не идешь в школу;Non vai a scuola
Он не идет на работу;Non va al lavoro
Она не идет в театр;Non va al teatro
Мы не идем в парк;Non andiamo al parco
Вы не идете на рынок;Non andate al mercato
Они не идут в ресторан;Non vanno al ristorante
Я делаю домашнее задание;Faccio i compiti
Ты делаешь зарядку;Fai ginnastica
Он делает завтрак;Fa colazione
Она делает покупки;Fa la spesa
Мы делаем уроки;Facciamo i compiti
Вы делаете работу;Fate il lavoro
Они делают обед;Fanno il pranzo
Я не делаю ошибки;Non faccio errori
Ты не делаешь зарядку;Non fai ginnastica
Он не делает завтрак;Non fa colazione
Она не делает покупки;Non fa la spesa
Мы не делаем уроки;Non facciamo i compiti
Вы не делаете работу;Non fate il lavoro
Они не делают обед;Non fanno il pranzo
