B06 - Trapassato Prossimo
Когда я пришёл, он уже ушёл.;Quando sono arrivato, lui era già uscito.
Когда она позвонила, я уже закончил работу.;Quando ha chiamato, avevo già finito il lavoro.
Мы уже поужинали, когда они пришли.;Avevamo già cenato quando sono arrivati.
Она уже заснула, когда я вернулся.;Quando sono tornato, lei si era già addormentata.
Он уже не жил там, когда я переехал.;Quando mi sono trasferito, lui non abitava più lì.
Она уже видела этот фильм раньше.;Lei aveva già visto questo film prima.
Мы уже слышали эту новость.;Avevamo già sentito questa notizia.
Он уже знал правду, когда я ему сказал.;Lui sapeva già la verità quando gliel'ho detto.
Она уже прочитала книгу до разговора.;Aveva già letto il libro prima della conversazione.
Когда я встал, мама уже приготовила завтрак.;Quando mi sono alzato, mia madre aveva già preparato la colazione.
Они уже уехали, когда мы приехали на станцию.;Quando siamo arrivati alla stazione, loro erano già partiti.
Я уже сделал домашнее задание до вечера.;Avevo già fatto i compiti prima di sera.
Она уже купила билеты, когда я спросил.;Quando ho chiesto, lei aveva già comprato i biglietti.
Мы уже решили проблему до встречи.;Avevamo già risolto il problema prima dell'incontro.
Когда я открыл дверь, кот уже убежал.;Quando ho aperto la porta, il gatto era già scappato.
Она уже написала письмо до обеда.;Aveva già scritto la lettera prima di pranzo.
Они уже продали машину, когда я узнал.;Quando ho saputo, avevano già venduto la macchina.
Она уже закрыла магазин, когда мы пришли.;Quando siamo arrivati, lei aveva già chiuso il negozio.
Мы уже начали работать, когда ты позвонил.;Quando hai chiamato, avevamo già iniziato a lavorare.
Он уже вернулся из Италии.;Lui era già tornato dall'Italia.
Она уже встала, когда прозвенел будильник.;Quando è suonata la sveglia, lei si era già alzata.
Мы уже выучили эти слова до урока.;Avevamo già imparato queste parole prima della lezione.
Когда я пришёл, они уже не говорили.;Quando sono arrivato, non parlavano più.
Она уже не ждала меня, когда я пришёл.;Quando sono arrivato, lei non mi aspettava più.
Мы уже поели, когда он пригласил нас.;Quando ci ha invitati, avevamo già mangiato.
Он уже потратил все деньги до конца недели.;Aveva già speso tutti i soldi prima della fine della settimana.
Она уже принесла документы, когда я попросил.;Quando ho chiesto, lei aveva già portato i documenti.
Мы уже нашли дорогу до карты.;Avevamo già trovato la strada prima della mappa.
Когда я вошёл, он уже сидел там.;Quando sono entrato, lui era già seduto lì.
Она уже изменила планы до встречи.;Aveva già cambiato i piani prima dell'incontro.
Мы уже выбрали этот ресторан раньше.;Avevamo già scelto questo ristorante prima.
Он уже закончил университет, когда мы познакомились.;Quando ci siamo conosciuti, lui aveva già finito l'università.
Она уже ждала тебя час, когда ты пришёл.;Quando sei arrivato, lei ti aspettava già da un'ora.
Мы уже обсуждали это раньше.;Avevamo già discusso di questo prima.
Когда я проснулся, уже светило солнце.;Quando mi sono svegliato, il sole splendeva già.
Она уже положила ключи на стол, когда я искал.;Quando ho cercato, lei aveva già messo le chiavi sul tavolo.
Мы уже знали ответ до экзамена.;Sapevamo già la risposta prima dell'esame.
Он уже открыл окно, когда стало жарко.;Quando ha fatto caldo, lui aveva già aperto la finestra.
