Verb Conjugation Drill Italian
RU;IT;Verb;Tense;Group;Rank
я осознаю (consapevole);Io sono consapevole.;essere;Presente;irregular_unique;1
ты осознаешь (consapevole);Tu sei consapevole.;essere;Presente;irregular_unique;1
он осознает (consapevole);Lui è consapevole.;essere;Presente;irregular_unique;1
она осознает (consapevole);Lei è consapevole.;essere;Presente;irregular_unique;1
мы осознаем (consapevole);Noi siamo consapevoli.;essere;Presente;irregular_unique;1
вы осознаете (consapevole);Voi siete consapevoli.;essere;Presente;irregular_unique;1
они осознают (consapevole);Loro sono consapevoli.;essere;Presente;irregular_unique;1
я был осознанным (essere consapevole);Io ero consapevole.;essere;Imperfetto;irregular_unique;1
ты был осознанным (essere consapevole);Tu eri consapevole.;essere;Imperfetto;irregular_unique;1
он был осознанным (essere consapevole);Lui era consapevole.;essere;Imperfetto;irregular_unique;1
она была осознанной (essere consapevole);Lei era consapevole.;essere;Imperfetto;irregular_unique;1
мы были осознанными (essere consapevole);Noi eravamo consapevoli.;essere;Imperfetto;irregular_unique;1
вы были осознанными (essere consapevole);Voi eravate consapevoli.;essere;Imperfetto;irregular_unique;1
они были осознанными (essere consapevole);Loro erano consapevoli.;essere;Imperfetto;irregular_unique;1
я был осведомлен (essere consapevole);Io fui consapevole.;essere;Passato Remoto;irregular_unique;1
ты был осведомлен (essere consapevole);Tu fosti consapevole.;essere;Passato Remoto;irregular_unique;1
он был осведомлен (essere consapevole);Lui fu consapevole.;essere;Passato Remoto;irregular_unique;1
она была осведомлена (essere consapevole);Lei fu consapevole.;essere;Passato Remoto;irregular_unique;1
мы были осведомлены (essere consapevole);Noi fummo consapevoli.;essere;Passato Remoto;irregular_unique;1
вы были осведомлены (essere consapevole);Voi foste consapevoli.;essere;Passato Remoto;irregular_unique;1
они были осведомлены (essere consapevole);Loro furono consapevoli.;essere;Passato Remoto;irregular_unique;1
я был осведомлен (essere consapevole);Io sono stato consapevole.;essere;Passato Prossimo;irregular_unique;1
ты был осведомлен (essere consapevole);Tu sei stato consapevole.;essere;Passato Prossimo;irregular_unique;1
он был осведомлен (essere consapevole);Lui è stato consapevole.;essere;Passato Prossimo;irregular_unique;1
она была осведомлена (essere consapevole);Lei è stata consapevole.;essere;Passato Prossimo;irregular_unique;1
мы были осведомлены (essere consapevole);Noi siamo stati consapevoli.;essere;Passato Prossimo;irregular_unique;1
вы были осведомлены (essere consapevole);Voi siete stati consapevoli.;essere;Passato Prossimo;irregular_unique;1
они были осведомлены (essere consapevole);Loro sono stati consapevoli.;essere;Passato Prossimo;irregular_unique;1
я уже был осведомлен (essere consapevole);Io ero stato consapevole.;essere;Trapassato Prossimo;irregular_unique;1
ты уже был осведомлен (essere consapevole);Tu eri stato consapevole.;essere;Trapassato Prossimo;irregular_unique;1
он уже был осведомлен (essere consapevole);Lui era stato consapevole.;essere;Trapassato Prossimo;irregular_unique;1
она уже была осведомлена (essere consapevole);Lei era stata consapevole.;essere;Trapassato Prossimo;irregular_unique;1
мы уже были осведомлены (essere consapevole);Noi eravamo stati consapevoli.;essere;Trapassato Prossimo;irregular_unique;1
вы уже были осведомлены (essere consapevole);Voi eravate stati consapevoli.;essere;Trapassato Prossimo;irregular_unique;1
они уже были осведомлены (essere consapevole);Loro erano stati consapevoli.;essere;Trapassato Prossimo;irregular_unique;1
я буду осведомлён (essere consapevole);Io sarò consapevole.;essere;Futuro Semplice;irregular_unique;1
ты будешь осведомлён (essere consapevole);Tu sarai consapevole.;essere;Futuro Semplice;irregular_unique;1
он будет осведомлён (essere consapevole);Lui sarà consapevole.;essere;Futuro Semplice;irregular_unique;1
она будет осведомлена (essere consapevole);Lei sarà consapevole.;essere;Futuro Semplice;irregular_unique;1
мы будем осведомлены (essere consapevole);Noi saremo consapevoli.;essere;Futuro Semplice;irregular_unique;1
вы будете осведомлены (essere consapevole);Voi sarete consapevoli.;essere;Futuro Semplice;irregular_unique;1
они будут осведомлены (essere consapevole);Loro saranno consapevoli.;essere;Futuro Semplice;irregular_unique;1
я уже буду осознавать (essere consapevole);Io sarò stato consapevole.;essere;Futuro Anteriore;irregular_unique;1
ты уже будешь осознавать (essere consapevole);Tu sarai stato consapevole.;essere;Futuro Anteriore;irregular_unique;1
он уже будет осознавать (essere consapevole);Lui sarà stato consapevole.;essere;Futuro Anteriore;irregular_unique;1
она уже будет осознавать (essere consapevole);Lei sarà stata consapevole.;essere;Futuro Anteriore;irregular_unique;1
мы уже будем осознавать (essere consapevole);Noi saremo stati consapevoli.;essere;Futuro Anteriore;irregular_unique;1
вы уже будете осознавать (essere consapevole);Voi sarete stati consapevoli.;essere;Futuro Anteriore;irregular_unique;1
они уже будут осознавать (essere consapevole);Loro saranno stati consapevoli.;essere;Futuro Anteriore;irregular_unique;1
я бы был осведомлен (essere consapevole);Io sarei consapevole.;essere;Condizionale Presente;irregular_unique;1
ты бы был осведомлен (essere consapevole);Tu saresti consapevole.;essere;Condizionale Presente;irregular_unique;1
он бы был осведомлен (essere consapevole);Lui sarebbe consapevole.;essere;Condizionale Presente;irregular_unique;1
она бы была осведомлена (essere consapevole);Lei sarebbe consapevole.;essere;Condizionale Presente;irregular_unique;1
