rank,adjective,msg,fsg,mpl,fpl,collocations
776,solito,solito,solita,soliti,solite,
874,pazzo,pazzo,pazza,pazzi,pazze,
1243,inglese,inglese,inglese,inglesi,inglesi,
1387,finta,finto,finta,finti,finte,
1405,segreto,segreto,segreta,segreti,segrete,
1566,giovane,giovane,giovane,giovani,giovani,
1729,ridicolo,ridicolo,ridicola,ridicoli,ridicole,
1794,parecchio,parecchio,parecchia,parecchi,parecchie,
1797,rosa,rosa,rosa,rosa,rosa,
1815,sbagliato,sbagliato,sbagliata,sbagliati,sbagliate,
1829,zitta,zitto,zitta,zitti,zitte,
1955,politico,politico,politica,politici,politice,
2106,sveglio,sveglio,sveglia,svegli,sveglie,
2446,ferita,ferito,ferita,feriti,ferite,
2586,bugiardo,bugiardo,bugiarda,bugiardi,bugiarde,
2636,noto,noto,nota,noti,note,
2788,esterno,esterno,esterna,esterni,esterne,
2812,criminale,criminale,criminale,criminali,criminali,
2955,cattivo,cattivo,cattiva,cattivi,cattive,
3003,scemo,scemo,scema,scemi,sceme,
3349,dannata,dannato,dannata,dannati,dannate,
3387,russo,russo,russa,russi,russe,
3397,prigioniero,prigioniero,prigioniera,prigionieri,prigioniere,
3428,straordinario,straordinario,straordinaria,straordinari,straordinarie,
3445,junior,junior,junior,junior,junior,
3530,cittadino,cittadino,cittadina,cittadini,cittadine,
3695,largo,largo,larga,largi,large,
3748,ufficiale,ufficiale,ufficiale,ufficiali,ufficiali,
3778,coperto,coperto,coperta,coperti,coperte,
3788,egoista,egoista,egoista,egoisti,egoiste,
4230,occupato,occupato,occupata,occupati,occupate,
4241,ideale,ideale,ideale,ideali,ideali,
4253,armato,armato,armata,armati,armate,
4254,amato,amato,amata,amati,amate,
4506,giallo,giallo,gialla,gialli,gialle,
4597,anziano,anziano,anziana,anziani,anziane,
4636,vedovo,vedovo,vedova,vedovi,vedove,
4641,sincero,sincero,sincera,sinceri,sincere,
4668,cinese,cinese,cinese,cinesi,cinesi,
4756,alieno,alieno,aliena,alieni,aliene,
4854,familiare,familiare,familiare,familiari,familiari,
4877,posteriore,posteriore,posteriore,posteriori,posteriori,
4952,alternativa,alternativo,alternativa,alternativi,alternative,
5025,malato,malato,malata,malati,malate,
5028,portatile,portatile,portatile,portatili,portatili,
5049,verde,verde,verde,verdi,verdi,
5176,indiano,indiano,indiana,indiani,indiane,
5383,malvagio,malvagio,malvagia,malvagi,malvagie,
5416,opposto,opposto,opposta,opposti,opposte,
5541,immobiliare,immobiliare,immobiliare,immobiliari,immobiliari,
5592,impiegato,impiegato,impiegata,impiegati,impiegate,
5824,disposto,disposto,disposta,disposti,disposte,
5942,utile,utile,utile,utili,utili,
5979,accorto,accorto,accorta,accorti,accorte,
6075,svelto,svelto,svelta,svelti,svelte,
6220,alleato,alleato,alleata,alleati,alleate,
6233,alcolico,alcolico,alcolica,alcolici,alcolice,
6345,particolare,particolare,particolare,particolari,particolari,
6369,amichevole,amichevole,amichevole,amichevoli,amichevoli,
6387,razzista,razzista,razzista,razzisti,razziste,
6439,sconosciuto,sconosciuto,sconosciuta,sconosciuti,sconosciute,
6459,ubriaco,ubriaco,ubriaca,ubriaci,ubriace,
6559,nudo,nudo,nuda,nudi,nude,
6689,rituale,rituale,rituale,rituali,rituali,
6694,dritto,dritto,dritta,dritti,dritte,
7038,visuale,visuale,visuale,visuali,visuali,
7114,nazista,nazista,nazista,nazisti,naziste,
7256,onorevole,onorevole,onorevole,onorevoli,onorevoli,
7313,tecnico,tecnico,tecnica,tecnici,tecnice,
7417,svizzero,svizzero,svizzera,svizzeri,svizzere,
7418,riunito,riunito,riunita,riuniti,riunite,
7478,franco,franco,franca,franci,france,
7487,iscritto,iscritto,iscritta,iscritti,iscritte,
7508,ciccione,ciccione,ciccione,ciccioni,ciccioni,
7708,critico,critico,critica,critici,critice,
7767,cristiano,cristiano,cristiana,cristiani,cristiane,
7999,medicinale,medicinale,medicinale,medicinali,medicinali,
8040,livido,livido,livida,lividi,livide,
8063,selvaggio,selvaggio,selvaggia,selvaggi,selvaggie,
8133,nascosto,nascosto,nascosta,nascosti,nascoste,
8240,psichiatrico,psichiatrico,psichiatrica,psichiatrici,psichiatrice,
8279,vuoto,vuoto,vuota,vuoti,vuote,
8309,lesbica,lesbico,lesbica,lesbici,lesbiche,
8331,collaterale,collaterale,collaterale,collaterali,collaterali,
8433,genetico,genetico,genetica,genetici,genetice,
8543,narcotico,narcotico,narcotica,narcotici,narcotice,
8549,pazzesco,pazzesco,pazzesca,pazzesci,pazzesce,
8680,dipinto,dipinto,dipinta,dipinti,dipinte,
8840,misero,misero,misera,miseri,misere,
8873,buffa,buffo,buffa,buffi,buffe,
8923,logico,logico,logica,logici,logice,
9098,iniziale,iniziale,iniziale,iniziali,iniziali,
9121,incazzato,incazzato,incazzata,incazzati,incazzate,
9179,comunista,comunista,comunista,comunisti,comuniste,
9260,espulso,espulso,espulsa,espulsi,espulse,
9269,ebrea,ebreo,ebrea,ebrei,ebree,
9562,cieco,cieco,cieca,cieci,ciece,
9706,coreano,coreano,coreana,coreani,coreane,
9749,generale,generale,generale,generali,generali,
9886,sepolto,sepolto,sepolta,sepolti,sepolte,
9895,igienico,igienico,igienica,igienici,igienice,
9949,soddisfatto,soddisfatto,soddisfatta,soddisfatti,soddisfatte,
9973,fritta,fritto,fritta,fritti,fritte,
10027,uniforme,uniforme,uniforme,uniformi,uniformi,
10114,spaziale,spaziale,spaziale,spaziali,spaziali,
10140,cotto,cotto,cotta,cotti,cotte,
10188,residuo,residuo,residua,residui,residue,
10449,rotto,rotto,rotta,rotti,rotte,
10884,connesso,connesso,connessa,connessi,connesse,
10939,musulmano,musulmano,musulmana,musulmani,musulmane,
11107,informatico,informatico,informatica,informatici,informatice,
11115,fotografico,fotografico,fotografica,fotografici,fotografice,
11119,codardo,codardo,codarda,codardi,codarde,
11283,quinta,quinto,quinta,quinti,quinte,
11437,chimico,chimico,chimica,chimici,chimice,
11607,oculare,oculare,oculare,oculari,oculari,
11627,tonto,tonto,tonta,tonti,tonte,
11793,torto,torto,torta,torti,torte,
11842,spostato,spostato,spostata,spostati,spostate,
11911,immaginario,immaginario,immaginaria,immaginari,immaginarie,
12034,cardiaco,cardiaco,cardiaca,cardiaci,cardiace,
12064,scosso,scosso,scossa,scossi,scosse,
12089,repubblicano,repubblicano,repubblicana,repubblicani,repubblicane,
12150,elettrico,elettrico,elettrica,elettrici,elettrice,
12213,sciocco,sciocco,sciocca,sciocci,sciocce,
12336,sensitivo,sensitivo,sensitiva,sensitivi,sensitive,
12418,immobile,immobile,immobile,immobili,immobili,
