rank,verb,collocations,ru
1,essere,eri consapevole;sarai capace;sarai felice;sarei curioso;sarei d'accordo;sarei felice;saremmo curiosi;saremmo d'accordo;saremmo lieti;saremmo onorati;saremo d'accordo;saremo felici;saremo presenti;saremo pronti;sareste capaci;sareste disponibili;sarete contenti;sarete d'accordo;sarete pronti;sarete sicuri;sarò d'accordo;sarò felice;sarò presente;sarò pronto;sono stanco,быть/являться/существовать
15,avere,abbi coraggio;avere caldo;avere fame;avere fretta;avere sete;avere sonno;avrai cura;avrai modo;avranno bisogno;avranno cura;avranno paura;avranno ragione;avranno successo;avremmo piacere;avremo cura;avremo modo;avremo tempo;avreste tempo;avrete cura;avrete modo;avrete ragione;avrete successo;avrà bisogno;avrà cura;avrà successo;avrò cura;avrò modo;avrò piacere;avrò successo;avuta cura;avuta fortuna;avuta paura;avuta pazienza;avuto cura;avuto modo;avuto paura;avuto pazienza;avuto successo;ebbe cura;ebbe modo;ebbe paura;ebbe successo,иметь/обладать
49,fare,fa attenzione;fa colazione;fa male;fa una domanda;faccia attenzione;faccia caso a;faccia centro;faccia strada;facciamo attenzione;facciamo colazione;facciamo una domanda;facciano attenzione;facciano causa;facciano centro;facciano riferimento;faccio attenzione;faccio colazione;faccio una domanda;faccio una passeggiata;facendo causa;facendo finta;faceva attenzione;faceva parte;faceva paura;faceva ridere;faceva schifo;facevamo attenzione;facevamo centro;facevamo colazione;facevamo fatica;facevamo strada;facevano attenzione;facevano colpo;facevano finta;facevano paura;facevi colpo;facevo attenzione;facevo centro;facevo colazione;facevo una domanda;fai attenzione;fai colazione;fai finta;fai una domanda;fanno attenzione;fanno colazione;fanno paura;fanno una domanda;farai attenzione;farai centro;farai colazione;faranno attenzione;faranno causa;faranno centro;faranno fatica;faranno parte;farci caso;farci un giro;farci un regalo;farci un tentativo;fare attenzione;fare centro;fare colazione;fare la spesa;fare rumore;fare shopping;fare sport;fare un errore;fare un viaggio;fare una domanda;fare una passeggiata;farebbe paura;farebbe schifo;farebbero causa;farebbero centro;farebbero fatica;farei fatica;farei un salto;farei un tentativo;farei una domanda;faremo attenzione;faremo centro;faremo colazione;faremo una domanda;faresti colazione;faresti un salto;faresti una domanda;farete centro;farete colazione;farete una domanda;fargli male;fargli una domanda;farla bene;farla breve;farla franca;farla fuori;farla grossa;farli aspettare;farli piangere;farli ridere;farmi capire;farmi male;farmi ridere;farti male;farvi beffe;farvi un esempio;farvi un favore;farvi un'idea;farà centro;farà male;farà parte;farò attenzione;farò centro;farò una domanda;fate attenzione;fate centro;fate colazione;fate una domanda;fatte a mano;fatti sentire;fatti un'idea;fece attenzione;fece centro;fece finta;fece una domanda;fece una promessa;feci attenzione;feci centro,делать/выполнять/заставлять
52,sapere,non saper dire;saper fare;sapere la verità;sapere le cose;sapere tutto;sapeva leggere;sapeva parlare;saprà ascoltare;saprà gestire;saputo della notizia,знать/уметь
61,dire,dice basta;dice di no;dice di sì;dice il falso;dice la verità;dicevi la verità;dico la verità;dicono la verità;diranno la verità;dirci il motivo;dirci la verità;dirci qualcosa;dirci tutto;dire addio;dire basta;dire bugie;dire di no;dire di sì;dire l'ultima parola;dire la verità;dire le cose;dire parole gentili;dire qualcosa;diremo la verità;diremo tutto;diresti la verità;diresti qualcosa;dirgli di no;dirgli la stessa cosa;dirgli la verità;dirgli tutto;dirvi il vero;dirvi la verità;dirvi qualcosa;dirvi tutto;dirà di no;dirà di sì;dirà la verità;dirà qualcosa;disse a voce alta;disse di no;disse la verità;dissi a voce alta;dissi la verità;dite la verità;dite qualcosa;dì di no;dì di sì;dì la verità;dì qualcosa,говорить/сказать/произносить
63,andare,andai a piedi;andando avanti;andando d'accordo;andare a dormire;andare a perdifiato;andare a piedi;andare a zonzo;andare al lavoro;andare d'accordo;andare in pezzi;andare in tilt;andare incontro al destino;andare via;andasse a fondo;andasse d'accordo;andasse via;andate a letto;andate avanti;andate d'accordo;andate via;andati a male;andati in pensione;andati perduti;andati via;andava a fondo;andava d'accordo;andava forte;andavano a piedi;andavano d'accordo;andavano forte;andavo a piedi;andavo d'accordo;andiamo avanti;andiamo d'accordo;andiamo via;andranno a male;andranno avanti;andranno d'accordo;andranno via;andremo avanti;andremo d'accordo;andrà avanti;andrà d'accordo;andrà via;andrò a piedi;andrò d'accordo;andò a dormire;andò a fondo;andò d'accordo;andò via;essere andata male;essere andata perduta;essere andato a fondo;essere andato d'accordo;essere andato perduto;va a fondo;vada avanti;vada d'accordo;vada via;vadano a fondo;vadano avanti;vadano d'accordo;vado d'accordo;vai avanti;vai dritto;vanno bene;vanno d'accordo;vanno via,идти/ходить/отправляться
70,stare,stai attento;stai calmo;stai fermo;stai tranquillo;stai zitto;stando attenti;stando male;stanno attenti;stanno bene;stanno insieme;stanno zitti;starai attento;stare a guardare;stare al centro;stare in piedi;stare seduti;staremo attenti;staremo insieme;staremo zitti;starà a guardare;starà attento;starà meglio;starà zitto;starò a guardare;starò attento;starò lontano;starò zitto;stava bene;stava male;stava zitto;stiamo attenti;stiamo insieme;stiamo zitti;sto attento;sto male;sto zitto,стоять/находиться/оставаться
79,volere,,хотеть/желать
87,potere,abuso di poteri;ampi poteri;concedere poteri;esercitare i poteri,мочь/иметь возможность
126,dovere,attenzione dovuta;cura dovuta;somma dovuta,долженствовать/быть должным
136,credere,crede in dio;crederci;credere a qualcuno;credere ciecamente;credere in dio;credete alla storia;credete in dio;credi al sogno;credi in te;credi nel futuro;crediamo nel futuro;creduto fermamente;creduto vero;far credere,верить/полагать/доверять
148,vedere,essere visti come;essere visti male;farsi vedere;non veda l'ora;non vede l'ora;non vedeva l'ora;non vedo l'ora;vede chiaro;vede la luce;vedere bene;vedere chiaro;vedere i risultati;vedere il mondo;vedere in anticipo;vedere l'effetto finale;vedere la verità;vedere un cambiamento;vedersi presto;vedete chiaro;vedono chiaro,видеть/смотреть/понимать
166,porre,aver posto un limite;ho posto l'accento;porre fine;porre il dubbio;porre in dubbio;porre in essere;porre l'accento;porre l'attenzione;porre le basi;porre rimedio;porre un quesito;posto in evidenza,ставить/помещать/задавать
174,dare,dando fastidio;dando per scontato;dando prova;dando ragione;danno credito;danno fastidio;danno importanza;danno noia;danno ragione;darai fastidio;darai importanza;darai l'idea;darai ragione;darai un colpo;daranno fastidio;daranno inizio;daranno prova;daranno ragione;daranno vita;dare del tu;dare fastidio;dare il meglio;dare l'allarme;dare per scontato;dare ragione;dare retta;dare un colpo;dare un consiglio;dare un'occhiata;dare una mano;darei importanza;darei per scontato;darei ragione;darei un'occhiata;daremo fastidio;daremo importanza;daremo inizio;daremo ragione;darà fastidio;darà inizio;darà luogo;darà modo;darà ragione;darò fastidio;darò il via;darò per scontato;darò ragione;darò un'occhiata;data per certa;data per scontata;dati per scontati;dato fastidio;dato per certo;dato per scontato;dava fastidio;dava importanza;dava l'idea;dava noia;dava ragione;dia fastidio;dia ragione;dia tempo;dia un'occhiata;diamo importanza;diamo inizio;diamo per scontato;diamo ragione;diamo retta;diede atto;diede inizio;diede luogo;diede vita;dà fastidio;dà l'idea;dà per scontato;dà ragione;dà un'occhiata,давать/отдавать/передавать
177,sembrare,sembrano contenti;sembrano preoccupati;sembrano pronti;sembrano stanchi;sembrare assurdo;sembrare banale;sembrare credibile;sembrare innocuo;sembrare reale;sembrare stanco;sembrare strano;sembrare vero;sembrava normale;sembri arrabbiato;sembri felice;sembri preoccupato;sembri stanco;sembri triste,казаться/представляться
187,pensare,pensa a tutto;pensa bene;pensa positivo;pensano male;pensarci su;pensare ad alta voce;pensare bene;pensare con la testa;pensare fuori dagli schemi;pensare in grande;pensare male;pensare profondamente;pensate a;pensate bene;pensava male;pensi male;pensiamo a,думать/мыслить/обдумывать
189,parlare,parla a voce alta;parla chiaro;parla con calma;parla di tutto;parlano chiaro;parlano di;parlano male;parlare a vanvera;parlare a voce alta;parlare con qualcuno;parlare di tutto;parlare inglese;parlare per sentito dire;parlare pubblicamente;parlare seriamente;parlare tra sé;parlate a voce alta;parlava a voce alta;parlava chiaramente;parlava con calma;parlavo a voce alta;parleremo apertamente;parli a voce alta;parli chiaro;parliamo a voce;parlo a voce alta,говорить/разговаривать/беседовать
