rank,adjective,msg,fsg,mpl,fpl,collocations,ru
776,solito,solito,solita,soliti,solite,,обычный/привычный
874,pazzo,pazzo,pazza,pazzi,pazze,,сумасшедший/безумный
1243,inglese,inglese,inglese,inglesi,inglesi,,английский
1387,finta,finto,finta,finti,finte,,поддельный/фальшивый
854,segreto,segreto,segreta,segreti,segrete,,секретный/тайный
738,giovane,giovane,giovane,giovani,giovani,,молодой
1729,ridicolo,ridicolo,ridicola,ridicoli,ridicole,,смешной/нелепый
1794,parecchio,parecchio,parecchia,parecchi,parecchie,,немалый/значительный
2011,rosa,rosa,rosa,rosa,rosa,,розовый
682,sbagliato,sbagliato,sbagliata,sbagliati,sbagliate,,неправильный/ошибочный
1829,zitta,zitto,zitta,zitti,zitte,,тихий/молчаливый
4297,politico,politico,politica,politici,politice,,политический
2106,sveglio,sveglio,sveglia,svegli,sveglie,,сообразительный/умный
1582,ferita,ferito,ferita,feriti,ferite,,раненый/повреждённый
2586,bugiardo,bugiardo,bugiarda,bugiardi,bugiarde,,лживый
4058,noto,noto,nota,noti,note,,известный/заметный
2788,esterno,esterno,esterna,esterni,esterne,,внешний
2206,criminale,criminale,criminale,criminali,criminali,,преступный/криминальный
1326,cattivo,cattivo,cattiva,cattivi,cattive,,плохой/злой
3003,scemo,scemo,scema,scemi,sceme,,глупый/дурацкий
3349,dannata,dannato,dannata,dannati,dannate,,проклятый
3186,russo,russo,russa,russi,russe,,русский
3431,prigioniero,prigioniero,prigioniera,prigionieri,prigioniere,,пленный/узник
3428,straordinario,straordinario,straordinaria,straordinari,straordinarie,,чрезвычайный/ выдающийся
3445,junior,junior,junior,junior,junior,,младший
4555,cittadino,cittadino,cittadina,cittadini,cittadine,,городской/гражданский
3695,largo,largo,larga,largi,large,,широкий
1369,ufficiale,ufficiale,ufficiale,ufficiali,ufficiali,,официальный
4187,coperto,coperto,coperta,coperti,coperte,,закрытый/крытый
3788,egoista,egoista,egoista,egoisti,egoiste,,эгоистичный
1966,occupato,occupato,occupata,occupati,occupate,,занятый
4241,ideale,ideale,ideale,ideali,ideali,,идеальный
4111,armato,armato,armata,armati,armate,,вооружённый
2369,amato,amato,amata,amati,amate,,любимый
4506,giallo,giallo,gialla,gialli,gialle,,жёлтый
5655,anziano,anziano,anziana,anziani,anziane,,пожилой/старший
4636,vedovo,vedovo,vedova,vedovi,vedove,,овдовевший
2934,sincero,sincero,sincera,sinceri,sincere,,искренний
2408,cinese,cinese,cinese,cinesi,cinesi,,китайский
5775,alieno,alieno,aliena,alieni,aliene,,чужой/инопланетный
2695,familiare,familiare,familiare,familiari,familiari,,семейный/знакомый
4877,posteriore,posteriore,posteriore,posteriori,posteriori,,задний
4952,alternativa,alternativo,alternativa,alternativi,alternative,,альтернативный
1847,malato,malato,malata,malati,malate,,больной
5028,portatile,portatile,portatile,portatili,portatili,,портативный
1660,verde,verde,verde,verdi,verdi,,зелёный
5164,indiano,indiano,indiana,indiani,indiane,,индийский
5383,malvagio,malvagio,malvagia,malvagi,malvagie,,злодейство/злой
5416,opposto,opposto,opposta,opposti,opposte,,противоположный
5541,immobiliare,immobiliare,immobiliare,immobiliari,immobiliari,,недвижимый/недвижимость
4832,impiegato,impiegato,impiegata,impiegati,impiegate,,служащий
3025,disposto,disposto,disposta,disposti,disposte,,готовый/расположенный
1608,utile,utile,utile,utili,utili,,полезный
3667,accorto,accorto,accorta,accorti,accorte,,осторожный/осмотрительный
5377,svelto,svelto,svelta,svelti,svelte,,быстрый/проворный
10148,alleato,alleato,alleata,alleati,alleate,,союзный
6233,alcolico,alcolico,alcolica,alcolici,alcolice,,алкогольный
1788,particolare,particolare,particolare,particolari,particolari,,особенный/отдельный
6369,amichevole,amichevole,amichevole,amichevoli,amichevoli,,дружелюбный
6387,razzista,razzista,razzista,razzisti,razziste,,расистский
3558,sconosciuto,sconosciuto,sconosciuta,sconosciuti,sconosciute,,неизвестный/незнакомый
