Italian - Congiuntivo Presente (Drill)
она хочет, чтобы я был готов (essere pronto);Lei vuole che io sia pronto
он хочет, чтобы ты был готов (essere pronto);Lui vuole che tu sia pronto
я думаю, что он готов (essere pronto);Io penso che lui sia pronto
мы думаем, что она готова (essere pronto);Noi pensiamo che lei sia pronta
ты думаешь, что мы готовы (essere pronto);Tu pensi che noi siamo pronti
я думаю, что вы готовы (essere pronto);Io penso che voi siate pronti
он думает, что они готовы (essere pronto);Lui pensa che loro siano pronti
он хочет, чтобы я проголодался (avere fame);Lui vuole che io abbia fame
она хочет, чтобы ты проголодался (avere fame);Lei vuole che tu abbia fame
я думаю, что он голоден (avere fame);Io penso che lui abbia fame
мы думаем, что она голодна (avere fame);Noi pensiamo che lei abbia fame
ты думаешь, что мы голодны (avere fame);Tu pensi che noi abbiamo fame
я думаю, что вы голодны (avere fame);Io penso che voi abbiate fame
он думает, что они голодны (avere fame);Lui pensa che loro abbiano fame
он хочет, чтобы я задал вопрос (fare una domanda);Lui vuole che io faccia una domanda
она хочет, чтобы ты задал вопрос (fare una domanda);Lei vuole che tu faccia una domanda
я думаю, что он задаст вопрос (fare una domanda);Io penso che lui faccia una domanda
я думаю, что она задаст вопрос (fare una domanda);Io penso che lei faccia una domanda
он хочет, чтобы мы задали вопрос (fare una domanda);Lui vuole che noi facciamo una domanda
я надеюсь, что вы зададите вопрос (fare una domanda);Io spero che voi facciate una domanda
мне кажется, что они зададут вопрос (fare una domanda);Credo che loro facciano una domanda
она хочет, чтобы я знала правду (sapere la verità);Lei vuole che io sappia la verità
он хочет, чтобы ты знал правду (sapere la verità);Lui vuole che tu sappia la verità
я думаю, что он знает правду (sapere la verità);Io penso che lui sappia la verità
мы думаем, что она знает правду (sapere la verità);Noi pensiamo che lei sappia la verità
я надеюсь, что мы узнаем правду (sapere la verità);Io spero che noi sappiamo la verità
он хочет, чтобы вы знали правду (sapere la verità);Lui vuole che voi sappiate la verità
я думаю, что они знают правду (sapere la verità);Io penso che loro sappiano la verità
он хочет, чтобы я сказал правду (dire la verità);Lui vuole che io dica la verità
она хочет, чтобы ты сказала правду (dire la verità);Lei vuole che tu dica la verità
я думаю, что он скажет правду (dire la verità);Io penso che lui dica la verità
мы верим, что она скажет правду (dire la verità);Noi crediamo che lei dica la verità
они надеются, что мы скажем правду (dire la verità);Loro sperano che noi diciamo la verità
я считаю, что вы скажете правду (dire la verità);Io credo che voi diciate la verità
он хочет, чтобы они сказали правду (dire la verità);Lui vuole che loro dicano la verità
она хочет, чтобы я пошел на работу (andare al lavoro);Lei vuole che io vada al lavoro
он хочет, чтобы ты пошел на работу (andare al lavoro);Lui vuole che tu vada al lavoro
я думаю, что он идет на работу (andare al lavoro);Io penso che lui vada al lavoro
мы надеемся, что она идет на работу (andare al lavoro);Noi speriamo che lei vada al lavoro
ты думаешь, что мы идем на работу (andare al lavoro);Tu pensi che noi andiamo al lavoro
я верю, что вы идете на работу (andare al lavoro);Io credo che voi andiate al lavoro
он хочет, чтобы они шли на работу (andare al lavoro);Lui vuole che loro vadano al lavoro
он хочет, чтобы я был спокойным (stare calmo);Lui vuole che io stia calmo
она хочет, чтобы ты был спокойным (stare calmo);Lei vuole che tu stia calmo
я думаю, что он будет спокойным (stare calmo);Io penso che lui stia calmo
мы верим, что она будет спокойной (stare calmo);Noi crediamo che lei stia calma
ты надеешься, что мы будем спокойными (stare calmo);Tu speri che noi stiamo calmi
я верю, что вы будете спокойными (stare calmo);Io credo che voi stiate calmi
он думает, что они будут спокойными (stare calmo);Lui pensa che loro stiano calmi
она хочет, чтобы я захотел кофе (un caffè);Lei vuole che io voglia un caffè
он хочет, чтобы ты захотел кофе (un caffè);Lui vuole che tu voglia un caffè
я думаю, что он захочет кофе (un caffè);Io penso che lui voglia un caffè
мы думаем, что она захочет кофе (un caffè);Noi pensiamo che lei voglia un caffè
я верю, что мы захотим кофе (un caffè);Io credo che noi vogliamo un caffè
он верит, что вы захотите кофе (un caffè);Lui crede che voi vogliate un caffè
я надеюсь, что они захотят кофе (un caffè);Io spero che loro vogliano un caffè
он хочет, чтобы я пришел (venire);Lui vuole che io possa venire
она надеется, что ты сможешь прийти (venire);Lei spera che tu possa venire
я думаю, что он сможет прийти (venire);Io penso che lui possa venire
мы верим, что она сможет прийти (venire);Noi crediamo che lei possa venire
ты думаешь, что мы сможем прийти (venire);Tu pensi che noi possiamo venire
я верю, что вы сможете прийти (venire);Io credo che voi possiate venire
он хочет, чтобы они смогли прийти (venire);Lui vuole che loro possano venire
он хочет, чтобы я заплатил (pagare);Lui vuole che io debba pagare
она хочет, чтобы ты заплатил (pagare);Lei vuole che tu debba pagare
я думаю, что он должен заплатить (pagare);Io penso che lui debba pagare
я думаю, что она должна заплатить (pagare);Io penso che lei debba pagare
он хочет, чтобы мы заплатили (pagare);Lui vuole che noi dobbiamo pagare
я думаю, что вы должны заплатить (pagare);Io penso che voi dobbiate pagare
я думаю, что они должны заплатить (pagare);Io penso che loro debbano pagare
он хочет, чтобы я верил в будущее (credere nel futuro);Lui vuole che io creda nel futuro
она хочет, чтобы ты верил в будущее (credere nel futuro);Lei vuole che tu creda nel futuro
я думаю, что он верит в будущее (credere nel futuro);Io penso che lui creda nel futuro
мы думаем, что она верит в будущее (credere nel futuro);Noi pensiamo che lei creda nel futuro
ты думаешь, что мы верим в будущее (credere nel futuro);Tu pensi che noi crediamo nel futuro
я думаю, что вы верите в будущее (credere nel futuro);Io penso che voi crediate nel futuro
он хочет, чтобы они верили в будущее (credere nel futuro);Lui vuole che loro credano nel futuro
он хочет, чтобы я увидел мир (vedere il mondo);Lui vuole che io veda il mondo
она хочет, чтобы ты увидел мир (vedere il mondo);Lei vuole che tu veda il mondo
я думаю, что он увидит мир (vedere il mondo);Io penso che lui veda il mondo
мы верим, что она увидит мир (vedere il mondo);Noi crediamo che lei veda il mondo
они надеются, что мы увидим мир (vedere il mondo);Loro sperano che noi vediamo il mondo
я верю, что вы увидите мир (vedere il mondo);Io credo che voi vediate il mondo
он думает, что они увидят мир (vedere il mondo);Lui pensa che loro vedano il mondo
он хочет, чтобы я положил конец (porre fine);Lui vuole che io ponga fine
она хочет, чтобы ты положил конец (porre fine);Lei vuole che tu ponga fine
я думаю, что он положит конец (porre fine);Io penso che lui ponga fine
мы думаем, что она положит конец (porre fine);Noi pensiamo che lei ponga fine
ты хочешь, чтобы мы положили конец (porre fine);Tu vuoi che noi poniamo fine
я надеюсь, что вы положите конец (porre fine);Io spero che voi poniate fine
он хочет, чтобы они положили конец (porre fine);Lui vuole che loro pongano fine
он хочет, чтобы я мешал (dare fastidio);Lui vuole che io dia fastidio
она хочет, чтобы ты мешал (dare fastidio);Lei vuole che tu dia fastidio
я думаю, что он мешает (dare fastidio);Io penso che lui dia fastidio
мы думаем, что она мешает (dare fastidio);Noi pensiamo che lei dia fastidio
ты хочешь, чтобы мы мешали (dare fastidio);Tu vuoi che noi diamo fastidio
я думаю, что вы мешаете (dare fastidio);Io penso che voi diate fastidio
он хочет, чтобы они мешали (dare fastidio);Lui vuole che loro diano fastidio
она хочет, чтобы я выглядел усталым (sembrare stanco);Lei vuole che io sembri stanco
он думает, что ты выглядишь усталым (sembrare stanco);Lui pensa che tu sembri stanco
я верю, что он выглядит усталым (sembrare stanco);Io credo che lui sembri stanco
мы надеемся, что она выглядит усталой (sembrare stanco);Noi speriamo che lei sembri stanca
ты думаешь, что мы выглядим усталыми (sembrare stanco);Tu pensi che noi sembriamo stanchi
я верю, что вы выглядите усталыми (sembrare stanco);Io credo che voi sembriate stanchi
он думает, что они выглядят усталыми (sembrare stanco);Lui pensa che loro sembrino stanchi
он хочет, чтобы я думал о тебе (pensare a);Lui vuole che io pensi a te
она хочет, чтобы ты думал о тебе (pensare a);Lei vuole che tu pensi a te
я думаю, что он думает о тебе (pensare a);Io penso che lui pensi a te
я думаю, что она думает о тебе (pensare a);Io penso che lei pensi a te
я надеюсь, что мы думаем о тебе (pensare a);Io spero che noi pensiamo a te
я верю, что вы думаете о тебе (pensare a);Io credo che voi pensiate a te
я думаю, что они думают о тебе (pensare a);Io penso che loro pensino a te
она хочет, чтобы я говорил по-английски (parlare inglese);Lei vuole che io parli inglese
он хочет, чтобы ты говорил по-английски (parlare inglese);Lui vuole che tu parli inglese
я думаю, что он говорит по-английски (parlare inglese);Io penso che lui parli inglese
мы думаем, что она говорит по-английски (parlare inglese);Noi pensiamo che lei parli inglese
ты хочешь, чтобы мы говорили по-английски (parlare inglese);Tu vuoi che noi parliamo inglese
я надеюсь, что вы говорите по-английски (parlare inglese);Io spero che voi parliate inglese
он думает, что они говорят по-английски (parlare inglese);Lui pensa che loro parlino inglese
она хочет, чтобы я ждал ответа (aspettare una risposta);Lei vuole che io aspetti una risposta
он надеется, что ты будешь ждать ответа (aspettare una risposta);Lui spera che tu aspetti una risposta
я думаю, что он ждет ответа (aspettare una risposta);Io penso che lui aspetti una risposta
мы верим, что она ждет ответа (aspettare una risposta);Noi crediamo che lei aspetti una risposta
вы думаете, что мы ждем ответа (aspettare una risposta);Voi pensate che noi aspettiamo una risposta
они надеются, что вы будете ждать ответа (aspettare una risposta);Loro sperano che voi aspettiate una risposta
я думаю, что они ждут ответа (aspettare una risposta);Io penso che loro aspettino una risposta
она хочет, чтобы я молился Богу (pregare Dio);Lei vuole che io preghi Dio
он хочет, чтобы ты молился Богу (pregare Dio);Lui vuole che tu preghi Dio
я думаю, что он молится Богу (pregare Dio);Io penso che lui preghi Dio
мы думаем, что она молится Богу (pregare Dio);Noi pensiamo che lei preghi Dio
они хотят, чтобы мы молились Богу (pregare Dio);Loro vogliono che noi preghiamo Dio
я верю, что вы молитесь Богу (pregare Dio);Io credo che voi preghiate Dio
он верит, что они молятся Богу (pregare Dio);Lui crede che loro preghino Dio
