Italian - Futuro Semplice
я буду готов (essere pronto);Io sarò pronto;Futuro Semplice
ты будешь готов (essere pronto);Tu sarai pronto;Futuro Semplice
он будет готов (essere pronto);Lui sarà pronto;Futuro Semplice
она будет готова (essere pronto);Lei sarà pronta;Futuro Semplice
мы будем готовы (essere pronti);Noi saremo pronti;Futuro Semplice
вы будете готовы (essere pronti);Voi sarete pronti;Futuro Semplice
они будут готовы (essere pronti);Loro saranno pronti;Futuro Semplice
я буду хотеть есть (avere fame);Io avrò fame;Futuro Semplice
ты будешь хотеть есть (avere fame);Tu avrai fame;Futuro Semplice
он будет хотеть есть (avere fame);Lui avrà fame;Futuro Semplice
она будет хотеть есть (avere fame);Lei avrà fame;Futuro Semplice
мы будем хотеть есть (avere fame);Noi avremo fame;Futuro Semplice
вы будете хотеть есть (avere fame);Voi avrete fame;Futuro Semplice
они будут хотеть есть (avere fame);Loro avranno fame;Futuro Semplice
я сделаю прогулку (fare una passeggiata);Io farò una passeggiata;Futuro Semplice
ты сделаешь прогулку (fare una passeggiata);Tu farai una passeggiata;Futuro Semplice
он сделает прогулку (fare una passeggiata);Lui farà una passeggiata;Futuro Semplice
она сделает прогулку (fare una passeggiata);Lei farà una passeggiata;Futuro Semplice
мы сделаем прогулку (fare una passeggiata);Noi faremo una passeggiata;Futuro Semplice
вы сделаете прогулку (fare una passeggiata);Voi farete una passeggiata;Futuro Semplice
они сделают прогулку (fare una passeggiata);Loro faranno una passeggiata;Futuro Semplice
я узнаю правду (sapere la verità);Io saprò la verità;Futuro Semplice
ты узнаешь правду (sapere la verità);Tu saprai la verità;Futuro Semplice
он узнает правду (sapere la verità);Lui saprà la verità;Futuro Semplice
она узнает правду (sapere la verità);Lei saprà la verità;Futuro Semplice
мы узнаем правду (sapere la verità);Noi sapremo la verità;Futuro Semplice
вы узнаете правду (sapere la verità);Voi saprete la verità;Futuro Semplice
они узнают правду (sapere la verità);Loro sapranno la verità;Futuro Semplice
я скажу правду (dire la verità);Io dirò la verità;Futuro Semplice
ты скажешь правду (dire la verità);Tu dirai la verità;Futuro Semplice
он скажет правду (dire la verità);Lui dirà la verità;Futuro Semplice
она скажет правду (dire la verità);Lei dirà la verità;Futuro Semplice
мы скажем правду (dire la verità);Noi diremo la verità;Futuro Semplice
вы скажете правду (dire la verità);Voi direte la verità;Futuro Semplice
они скажут правду (dire la verità);Loro diranno la verità;Futuro Semplice
я пойду в кино (andare al cinema);Io andrò al cinema;Futuro Semplice
ты пойдёшь в кино (andare al cinema);Tu andrai al cinema;Futuro Semplice
он пойдёт в кино (andare al cinema);Lui andrà al cinema;Futuro Semplice
она пойдёт в кино (andare al cinema);Lei andrà al cinema;Futuro Semplice
мы пойдём в кино (andare al cinema);Noi andremo al cinema;Futuro Semplice
вы пойдёте в кино (andare al cinema);Voi andrete al cinema;Futuro Semplice
они пойдут в кино (andare al cinema);Loro andranno al cinema;Futuro Semplice
я буду в порядке (stare bene);Io starò bene;Futuro Semplice
ты будешь в порядке (stare bene);Tu starai bene;Futuro Semplice
он будет в порядке (stare bene);Lui starà bene;Futuro Semplice
она будет в порядке (stare bene);Lei starà bene;Futuro Semplice
мы будем в порядке (stare bene);Noi staremo bene;Futuro Semplice
вы будете в порядке (stare bene);Voi starete bene;Futuro Semplice
они будут в порядке (stare bene);Loro staranno bene;Futuro Semplice
я захочу кофе (volere un caffè);Io vorrò un caffè;Futuro Semplice
ты захочешь кофе (volere un caffè);Tu vorrai un caffè;Futuro Semplice
он захочет кофе (volere un caffè);Lui vorrà un caffè;Futuro Semplice
она захочет кофе (volere un caffè);Lei vorrà un caffè;Futuro Semplice
мы захотим кофе (volere un caffè);Noi vorremo un caffè;Futuro Semplice
вы захотите кофе (volere un caffè);Voi vorrete un caffè;Futuro Semplice
они захотят кофе (volere un caffè);Loro vorranno un caffè;Futuro Semplice
я смогу прийти (venire);Io potrò venire;Futuro Semplice
ты сможешь прийти (venire);Tu potrai venire;Futuro Semplice
он сможет прийти (venire);Lui potrà venire;Futuro Semplice
она сможет прийти (venire);Lei potrà venire;Futuro Semplice
мы сможем прийти (venire);Noi potremo venire;Futuro Semplice
вы сможете прийти (venire);Voi potrete venire;Futuro Semplice
они смогут прийти (venire);Loro potranno venire;Futuro Semplice
я должен буду заплатить (pagare);Io dovrò pagare;Futuro Semplice
ты должен будешь заплатить (pagare);Tu dovrai pagare;Futuro Semplice
он должен будет заплатить (pagare);Lui dovrà pagare;Futuro Semplice
она должна будет заплатить (pagare);Lei dovrà pagare;Futuro Semplice
мы должны будем заплатить (pagare);Noi dovremo pagare;Futuro Semplice
вы должны будете заплатить (pagare);Voi dovrete pagare;Futuro Semplice
они должны будут заплатить (pagare);Loro dovranno pagare;Futuro Semplice
я буду верить в будущее (credere nel futuro);Io crederò nel futuro;Futuro Semplice
ты будешь верить в будущее (credere nel futuro);Tu crederai nel futuro;Futuro Semplice
он будет верить в будущее (credere nel futuro);Lui crederà nel futuro;Futuro Semplice
она будет верить в будущее (credere nel futuro);Lei crederà nel futuro;Futuro Semplice
мы будем верить в будущее (credere nel futuro);Noi crederemo nel futuro;Futuro Semplice
вы будете верить в будущее (credere nel futuro);Voi crederete nel futuro;Futuro Semplice
они будут верить в будущее (credere nel futuro);Loro crederanno nel futuro;Futuro Semplice
я увижу мир (vedere il mondo);Io vedrò il mondo;Futuro Semplice
ты увидишь мир (vedere il mondo);Tu vedrai il mondo;Futuro Semplice
он увидит мир (vedere il mondo);Lui vedrà il mondo;Futuro Semplice
она увидит мир (vedere il mondo);Lei vedrà il mondo;Futuro Semplice
мы увидим мир (vedere il mondo);Noi vedremo il mondo;Futuro Semplice
вы увидите мир (vedere il mondo);Voi vedrete il mondo;Futuro Semplice
они увидят мир (vedere il mondo);Loro vedranno il mondo;Futuro Semplice
я положу конец (porre fine);Io porrò fine;Futuro Semplice
ты положишь конец (porre fine);Tu porrai fine;Futuro Semplice
он положит конец (porre fine);Lui porrà fine;Futuro Semplice
она положит конец (porre fine);Lei porrà fine;Futuro Semplice
мы положим конец (porre fine);Noi porremo fine;Futuro Semplice
вы положите конец (porre fine);Voi porrete fine;Futuro Semplice
они положат конец (porre fine);Loro porranno fine;Futuro Semplice
я дам совет (dare un consiglio);Io darò un consiglio;Futuro Semplice
ты дашь совет (dare un consiglio);Tu darai un consiglio;Futuro Semplice
он даст совет (dare un consiglio);Lui darà un consiglio;Futuro Semplice
она даст совет (dare un consiglio);Lei darà un consiglio;Futuro Semplice
мы дадим совет (dare un consiglio);Noi daremo un consiglio;Futuro Semplice
вы дадите совет (dare un consiglio);Voi darete un consiglio;Futuro Semplice
они дадут совет (dare un consiglio);Loro daranno un consiglio;Futuro Semplice
я буду казаться усталым (stanco);Io sembrerò stanco;Futuro Semplice
ты будешь казаться усталым (stanco);Tu sembrerai stanco;Futuro Semplice
он будет казаться усталым (stanco);Lui sembrerà stanco;Futuro Semplice
она будет казаться усталой (stanco);Lei sembrerà stanca;Futuro Semplice
мы будем казаться усталыми (stanco);Noi sembreremo stanchi;Futuro Semplice
