Verb Conjugation A1 Italian
я устал (essere stanco);Io sono stanco.;Presente
ты устал (essere stanco);Tu sei stanco.;Presente
он устал (essere stanco);Lui è stanco.;Presente
она устала (essere stanco);Lei è stanca.;Presente
мы устали (essere stanco);Noi siamo stanchi.;Presente
вы устали (essere stanco);Voi siete stanchi.;Presente
они устали (essere stanco);Loro sono stanchi.;Presente
я был готов (pronto);Io ero pronto.;Imperfetto
ты был готов (pronto);Tu eri pronto.;Imperfetto
он был готов (pronto);Lui era pronto.;Imperfetto
она была готова (pronto);Lei era pronta.;Imperfetto
мы были готовы (pronto);Noi eravamo pronti.;Imperfetto
вы были готовы (pronto);Voi eravate pronti.;Imperfetto
они были готовы (pronto);Loro erano pronti.;Imperfetto
я был готов (essere pronto);Io fui pronto.;Passato Remoto
ты был готов (essere pronto);Tu fosti pronto.;Passato Remoto
он был готов (essere pronto);Lui fu pronto.;Passato Remoto
она была готова (essere pronto);Lei fu pronta.;Passato Remoto
мы были готовы (essere pronto);Noi fummo pronti.;Passato Remoto
вы были готовы (essere pronto);Voi foste pronti.;Passato Remoto
они были готовы (essere pronto);Loro furono pronti.;Passato Remoto
я был готов (essere pronto);Io sono stato pronto.;Passato Prossimo
ты был готов (essere pronto);Tu sei stato pronto.;Passato Prossimo
он был готов (essere pronto);Lui è stato pronto.;Passato Prossimo
она была готова (essere pronto);Lei è stata pronta.;Passato Prossimo
мы были готовы (essere pronto);Noi siamo stati pronti.;Passato Prossimo
вы были готовы (essere pronto);Voi siete stati pronti.;Passato Prossimo
они были готовы (essere pronto);Loro sono stati pronti.;Passato Prossimo
я уже был готов (essere pronto);Io ero stato pronto.;Trapassato Prossimo
ты уже был готов (essere pronto);Tu eri stato pronto.;Trapassato Prossimo
он уже был готов (essere pronto);Lui era stato pronto.;Trapassato Prossimo
она уже была готова (essere pronto);Lei era stata pronta.;Trapassato Prossimo
мы уже были готовы (essere pronto);Noi eravamo stati pronti.;Trapassato Prossimo
вы уже были готовы (essere pronto);Voi eravate stati pronti.;Trapassato Prossimo
они уже были готовы (essere pronto);Loro erano stati pronti.;Trapassato Prossimo
я буду готов (essere pronto);Io sarò pronto.;Futuro Semplice
ты будешь готов (essere pronto);Tu sarai pronto.;Futuro Semplice
он будет готов (essere pronto);Lui sarà pronto.;Futuro Semplice
она будет готова (essere pronto);Lei sarà pronta.;Futuro Semplice
мы будем готовы (essere pronti);Noi saremo pronti.;Futuro Semplice
вы будете готовы (essere pronti);Voi sarete pronti.;Futuro Semplice
они будут готовы (essere pronti);Loro saranno pronti.;Futuro Semplice
