Verb Conjugation A1 Italian (Drill)
я устал (essere stanco);Io sono stanco.
ты устал (essere stanco);Tu sei stanco.
он устал (essere stanco);Lui è stanco.
она устала (essere stanco);Lei è stanca.
мы устали (essere stanco);Noi siamo stanchi.
вы устали (essere stanco);Voi siete stanchi.
они устали (essere stanco);Loro sono stanchi.
я был готов (pronto);Io ero pronto.
ты был готов (pronto);Tu eri pronto.
он был готов (pronto);Lui era pronto.
она была готова (pronto);Lei era pronta.
мы были готовы (pronto);Noi eravamo pronti.
вы были готовы (pronto);Voi eravate pronti.
они были готовы (pronto);Loro erano pronti.
я был готов (essere pronto);Io fui pronto.
ты был готов (essere pronto);Tu fosti pronto.
он был готов (essere pronto);Lui fu pronto.
она была готова (essere pronto);Lei fu pronta.
мы были готовы (essere pronto);Noi fummo pronti.
вы были готовы (essere pronto);Voi foste pronti.
они были готовы (essere pronto);Loro furono pronti.
я был готов (essere pronto);Io sono stato pronto.
ты был готов (essere pronto);Tu sei stato pronto.
он был готов (essere pronto);Lui è stato pronto.
она была готова (essere pronto);Lei è stata pronta.
мы были готовы (essere pronto);Noi siamo stati pronti.
вы были готовы (essere pronto);Voi siete stati pronti.
они были готовы (essere pronto);Loro sono stati pronti.
я уже был готов (essere pronto);Io ero stato pronto.
ты уже был готов (essere pronto);Tu eri stato pronto.
он уже был готов (essere pronto);Lui era stato pronto.
она уже была готова (essere pronto);Lei era stata pronta.
мы уже были готовы (essere pronto);Noi eravamo stati pronti.
вы уже были готовы (essere pronto);Voi eravate stati pronti.
они уже были готовы (essere pronto);Loro erano stati pronti.
я буду готов (essere pronto);Io sarò pronto.
ты будешь готов (essere pronto);Tu sarai pronto.
он будет готов (essere pronto);Lui sarà pronto.
она будет готова (essere pronto);Lei sarà pronta.
мы будем готовы (essere pronti);Noi saremo pronti.
вы будете готовы (essere pronti);Voi sarete pronti.
они будут готовы (essere pronti);Loro saranno pronti.
к тому времени я уже буду готов (essere pronto);Io sarò stato pronto.
к тому времени ты уже будешь готов (essere pronto);Tu sarai stato pronto.
к тому времени он уже будет готов (essere pronto);Lui sarà stato pronto.
к тому времени она уже будет готова (essere pronto);Lei sarà stata pronta.
к тому времени мы уже будем готовы (essere pronto);Noi saremo stati pronti.
к тому времени вы уже будете готовы (essere pronto);Voi sarete stati pronti.
к тому времени они уже будут готовы (essere pronto);Loro saranno stati pronti.
я бы был счастливым (essere felice);Io sarei felice.
ты бы был счастливым (essere felice);Tu saresti felice.
он бы был счастливым (essere felice);Lui sarebbe felice.
она бы была счастливой (essere felice);Lei sarebbe felice.
мы бы были счастливыми (essere felice);Noi saremmo felici.
вы бы были счастливыми (essere felice);Voi sareste felici.
они бы были счастливыми (essere felice);Loro sarebbero felici.
я бы был готов (essere pronto);Io sarei stato pronto.
ты бы был готов (essere pronto);Tu saresti stato pronto.
он бы был готов (essere pronto);Lui sarebbe stato pronto.
она бы была готова (essere pronto);Lei sarebbe stata pronta.
мы бы были готовы (essere pronto);Noi saremmo stati pronti.
вы бы были готовы (essere pronto);Voi sareste stati pronti.
они бы были готовы (essere pronto);Loro sarebbero stati pronti.
она хочет, чтобы я был готов (essere pronto);Lei vuole che io sia pronto.
он хочет, чтобы ты был готов (essere pronto);Lui vuole che tu sia pronto.
я думаю, что он готов (essere pronto);Io penso che lui sia pronto.
мы думаем, что она готова (essere pronto);Noi pensiamo che lei sia pronta.
ты думаешь, что мы готовы (essere pronto);Tu pensi che noi siamo pronti.
я думаю, что вы готовы (essere pronto);Io penso che voi siate pronti.
он думает, что они готовы (essere pronto);Lui pensa che loro siano pronti.
он хотел, чтобы я был готов (essere pronto);Lui voleva che io fossi pronto.
она хотела, чтобы ты был готов (essere pronto);Lei voleva che tu fossi pronto.
я думал, что он будет готов (essere pronto);Io pensavo che lui fosse pronto.
мы верили, что она будет готова (essere pronto);Noi credevamo che lei fosse pronta.
они надеялись, что мы будем готовы (essere pronto);Loro speravano che noi fossimo pronti.
я боялся, что вы будете готовы (essere pronto);Io temevo che voi foste pronti.
он верил, что они будут готовы (essere pronto);Lui credeva che loro fossero pronti.
он думает, что я уже был готов (essere pronto);Lui pensa che io sia stato pronto.
она надеется, что ты уже был готов (essere pronto);Lei spera che tu sia stato pronto.
я верю, что он уже был готов (essere pronto);Io credo che lui sia stato pronto.
мы сомневаемся, что она уже была готова (essere pronto);Noi dubitiamo che lei sia stata pronta.
ты думаешь, что мы уже были готовы (essere pronto);Tu pensi che noi siamo stati pronti.
я полагаю, что вы уже были готовы (essere pronto);Io suppongo che voi siate stati pronti.
он верит, что они уже были готовы (essere pronto);Lui crede che loro siano stati pronti.
я хочу есть (avere fame);Io ho fame.
ты хочешь есть (avere fame);Tu hai fame.
он хочет есть (avere fame);Lui ha fame.
она хочет есть (avere fame);Lei ha fame.
мы хотим есть (avere fame);Noi abbiamo fame.
вы хотите есть (avere fame);Voi avete fame.
они хотят есть (avere fame);Loro hanno fame.
я хотел есть (avere fame);Io avevo fame.
ты хотел есть (avere fame);Tu avevi fame.
он хотел есть (avere fame);Lui aveva fame.
она хотела есть (avere fame);Lei aveva fame.
мы хотели есть (avere fame);Noi avevamo fame.
вы хотели есть (avere fame);Voi avevate fame.
они хотели есть (avere fame);Loro avevano fame.
я проголодался (avere fame);Io ebbi fame.
ты проголодался (avere fame);Tu avesti fame.
он проголодался (avere fame);Lui ebbe fame.
она проголодалась (avere fame);Lei ebbe fame.
мы проголодались (avere fame);Noi avemmo fame.
вы проголодались (avere fame);Voi aveste fame.
они проголодались (avere fame);Loro ebbero fame.
я хотел есть (avere fame);Io ho avuto fame.
ты хотел есть (avere fame);Tu hai avuto fame.
