"Он работает из дома";He works from home
"Он не работает из дома";He doesn't work from home
"Она получила подарок";She got a present
"Она получила подарок?";Did she get a present?
"Я хотел работать";I wanted to work
"Я не хотел работать";I didn't want to work
"Он не продал свою машину";He didn't sell his car
"Майк и Джейн не ходят на работу";Mike and Jane don't go to work
"У него очень хорошая работа";He has a very good job
"У него есть дом и машина?";Does he have a car and a house?
"У нее не было друзей";She didn't have friends
"Я не взял с собой кошелек";I didn't bring my wallet
"Она позавтракала в 10";She had breakfast at 10
"Она завтракала сегодня?";Did she have breakfast today?
"Ты получил мое сообщение?";Did you get my message?
"Она меня видела";She saw me
"Она меня не видела";She didn't see me
"Их друг их обманул";Their friend tricked them
"Я работал много на прошлой неделе";I worked a lot last week
"Я ухожу с моей работы в 5";I leave work at 5
"Я провел 3 часа дома";I spent 3 hours at home
"У нее была дорогая машина";She had an expensive car
"Он работает в этой компании?";Does he work at that company?
"Ты построил этот дом?";Did you build this house?
"Он не отправлял тот емейл";He didn't send that email
"Я не знаю этого";I don't know this
"Он говорил 30 минут";He talked for 30 minutes
"Она потратила те деньги";She spent that money
"Она ходила в кино вчера";She went to the movies yesterday
"Она торгует машинами";She sells cars
"Ты обычно работаешь на выходных?";Do you usually work at weekends?
"Я всегда встаю в 7";I always get up at 7
"Ты ее знаешь?";Do you know her?
"Я не могу починить эту машину";I can't fix this car
"Я сводил ее в ресторан";I took her to a restaurant
"Я получил новую работу на прошлой неделе";I got a new job last week
"Мне не понравилось их предложение";I didn't like their offer
"Я не хотел беспокоить тебя";I didn't want to bother you
"Он обычно уходит на работу в 9";He usually leaves for work at 9
"Я учил английский несколько месяцев";I studied English for a few months
"Он говорил 30 минут";He talked for 30 minutes
"Ей не нравится учиться";She doesn't like studying
"Чем ты занимаешься на работе?";What do you do at work?
"Она пришла домой вчера вечером?";Did she come home last night?
"Я звонил его брату на прошлой неделе";I called his brother last week
"Мы их не приглашали";We didn't invite them
"Мне это поможет?";Will this help me?
"Я испек торт вчера";I made a cake yesterday
"Ты сводишь меня в кино на следующей неделе?";Will you take me to the movies next week?
"Я поеду на такси";I will take a taxi
"Я сегодня не завтракал";I didn't have breakfast today
"Я не понимаю этого";I don't get this
"Я доехал до работы вовремя";I got to work on time
"Он построил хороший дом";He built a good house
"Но его крыша не выглядит красивой";But its roof doesn't look nice
