Routine Giornaliera
русский перевод;итальянский текст
Я просыпаюсь (svegliarsi) в семь (sette) часов (ora).;Mi sveglio alle sette.
Ты просыпаешься (svegliarsi) поздно (tardi).;Ti svegli tardi.
Он просыпается (svegliarsi) рано (presto).;Si sveglia presto.
Мы просыпаемся (svegliarsi) вместе (insieme).;Ci svegliamo insieme.
Я умываюсь (lavarsi) лицо (faccia).;Mi lavo la faccia.
Ты умываешься (lavarsi) руки (mano).;Ti lavi le mani.
Он умывается (lavarsi) в ванной (bagno).;Si lava in bagno.
Мы умываемся (lavarsi) холодной (fredda) водой (acqua).;Ci laviamo con acqua fredda.
Я одеваюсь (vestirsi) быстро (veloce).;Mi vesto velocemente.
Ты одеваешься (vestirsi) тепло (caldo).;Ti vesti calorosamente.
Он одевается (vestirsi) один (da solo).;Si veste da solo.
Мы одеваемся (vestirsi) elegantly (elegante).;Ci vestiamo in modo elegante.
Я завтракаю (fare colazione) дома (casa).;Faccio colazione a casa.
Ты завтракаешь (fare colazione) в школе (scuola).;Fai colazione a scuola.
Он завтракает (fare colocation) кофе (caffè).;Fa colazione con il caffè.
Мы завтракаем (fare colazione) хлеб (pane) и (e) масло (burro).;Facciamo colazione con pane e burro.
Я обедаю (pranzare) в час (una).;Pranzo all'una.
Ты обедаешь (pranzare) с (con) другом (amico).;Pranzi con un amico.
Он обедает (pranzare) в ресторане (ristorante).;Pranza al ristorante.
Мы обедаем (pranzare) мясо (carne).;Pranziamo la carne.
Я ужинаю (cenate) поздно (tardi).;Ceno tardi.
Ты ужинаешь (cenate) семь (sette).;Ceni alle sette.
Он ужинает (cenate) рыбу (pesce).;Cena il pesce.
Мы ужинаем (cenate) дома (casa).;Ceniamo a casa.
Я иду (andare) в школу (scuola).;Vado a scuola.
Ты идешь (andare) на работу (lavoro).;Vai al lavoro.
Он идет (andare) в парк (parco).;Va al parco.
Мы идем (andare) вместе (insieme).;Andiamo insieme.
Я прихожу (arrivare) домой (casa).;Arrivo a casa.
Ты приходишь (arrivare) первым (primo).;Arrivi per primo.
Он приходит (arrivare) поздно (tardi).;Arriva tardi.
Мы приходим (arrivare) вовремя (in tempo).;Arriviamo in tempo.
Я ухожу (uscire) из (da) дома (casa).;Esco di casa.
Ты уходишь (uscire) из (da) школы (scuola).;Esci da scuola.
Он уходит (uscire) с (con) другом (amico).;Esce con un amico.
Мы уходим (uscire) сейчас (ora).;Usiamo ora.
Я работаю (lavorare) много (molto).;Lavoro molto.
Ты работаешь (lavorare) здесь (qui).;Lavori qui.
Он работает (lavorare) в офисе (ufficio).;Lavora in ufficio.
Мы работаем (lavorare) вместе (insieme).;Lavoriamo insieme.
Я читаю (leggere) книгу (libro).;Leggo un libro.
Ты читаешь (leggere) журнал (rivista).;Leggi una rivista.
Он читает (leggere) письмо (lettera).;Legge una lettera.
Мы читаем (leggere) новости (notizia).;Leggiamo le notizie.
Я пишу (scrivere) текст (testo).;Scrivo un testo.
Ты пишешь (scrivere) сообщение (messaggio).;Scrivi un messaggio.
Он пишет (scrivere) стихи (poesia).;Scrive poesie.
Мы пишем (scrivere) другу (amico).;Scriviamo all'amico.
