Урок;Тема;Статус;Предложений;Описание;Примечание;Комментарий_по_развитию
1;A01;Ενεστώτας (Настоящее время);впереди;25–30;Настоящее время. Группа A (-ω/-άω: μιλάω, γράφω) и группа B (-ω: θεωρώ, τρέχω) | ключевые неправильные είμαι/έχω/πάω/κάνω/λέω/βλέπω/τρώω/πηγαίνω/παίρνω/ξέρω | базовое отрицание δεν + δε | простые вопросы (интонация без_QUESTION word). 2-3 готовые формулы: με λένε (меня зовут) | δεν καταλαβαίνω (не понимаю).;Блок A — Фундамент;Логика блока: Дать основной двигатель (глагол) немедленно. В греческом НЕТ инфинитива — поэтому с первого урока работают полные формы: εγώ μιλώ, εσύ μιλάς, αυτός μιλάει. Подлежащее часто опускается (личное окончание несёт лицо). Отрицание δεν (перед согласной) / δε (перед гласной). Возвратные не разворачивать — только клише для выживания. Английский якорь: Present Simple + Continuous (греческий ενεστώτας покрывает оба). Греческий алфавит — студент привыкает к письму с первого урока через сами примеры.
2;A02;Άρθρα (Артикли: определённые и неопределённые);впереди;25–30;Определённые артикли: ο (м.р.), η (ж.р.), το (ср.р.) — ед.ч.; οι (м.р./ж.р.), τα (ср.р.) — мн.ч. Неопределённые: ένας (м.р.), μία/ένα (ж.р./ср.р.) — только ед.ч. Когда ставить | когда нет. Слияние с предлогами στο/στη/στον (см. A09).;Блок A — Фундамент;Логика блока: Греческие артикли — фундамент согласовательной системы. Три рода (ο/η/το) задают пол согласования на всё предложение: артикль + существительное + прилагательное + причастие. Контраст с итальянским (2 рода): το κορίτσι (ср.р. «девочка») — род не всегда совпадает с семантикой. Минимальные пары: ένα βιβλίο / το βιβλίο. Артикль будет нести падежную информацию через слияние с предлогами (см. A09): στο τραπέζι = на столе.
3;A03;Ουσιαστικά: γένος και αριθμός (Существительные: род и число);впереди;25–30;Три рода: мужской (-ας/-ης/-ος), женский (-α/-η/-ος), средний (-ο/-ι/-μα/-μα). Множественное число: -ες/-οι/-α/-ια. Исключения: ο τρόπος (м.р.), η μέθοδος (ж.р.), το κορίτσι (ср.р. «девочка»), η πόρτα (ж.р. от -ος).;Блок A — Фундамент;Логика блока: Внутренняя логика окончаний — это база | на которой будут работать все согласования (прилагательные | причастия | артикли). Греческий ТРИ рода vs итальянский ДВА — это ключевое различие. Средний род (-ο/-ι) совпадает с артиклем το. Тренировать через минимальные пары: ο μαθητής / η μαθήτρια / οι μαθητές / οι μαθήτριες / τα παιδιά. Средний род мн.ч. всегда с τα.
4;A04;Επίθετα (Прилагательные);впереди;25–30;Согласование прилагательных по роду | числу | падежу: καλός/καλή/καλό — καλές/καλοί/καλά. Три окончания: -ος/-η/-ο (παλιά группа), -ος/-α/-ο (νέα группа), -ής/-ιά/-ί. Позиция до и после существительного. Антипример: ένας καλός άνθρωπος (хороший человек) vs ένα καλό φαγητό (хорошая еда).;Блок A — Фундамент;Логика блока: Прилагательное — расширение существительного | согласование = эхо трёх родов. Греческое прилагательное меняется по ВСЕМ трём родам (vs итальянское — по двум). Студент осознанно согласовывает артикль + существительное + прилагательное: η ωραία γυναίκα / ο ωραίος άντρας / το ωραίο παιδί. Позиция прилагательного несёт смысл (как в итальянском): ένας μεγάλος άντρας (важный) vs ένας άντρας μεγάλος (большого роста).
5;A05;Ευγενική μορφή — Εσείς (Вежливое обращение);впереди;25–30;Вежливое обращение Εσείς = мн.ч. (3 лицо ед.ч. тоже возможно в очень формальных контекстах). Μιλάτε ελληνικά; Πώς σας λένε; Είστε κουρασμένος/η; Έχετε χρόνο; Контраст εσύ/εσείς в одних и тех же фразах.;Блок A — Фундамент;Логика блока: Регистр как смысловое отношение «дистанция/уважение». Греческий использует Εσείς (множественное число) как вежливую форму — та же логика что французское «vous». ЖЁСТКОЕ ОГРАНИЧЕНИЕ: только Ενεστώτας формы Εσείς. НЕ давать здесь υποτακτική (сослагательное) как вежливый императив — это A16. Здесь готовим только чувствительность к регистру и привычку к мн.ч. как форме вежливости. Греческая вежливость мягче итальянской — часто можно использовать εσύ с незнакомыми.
6;A06;Είμαι vs Έχω (Быть vs Иметь);впереди;25–30;Είμαι для свойств и состояний (είμαι κουρασμένος/η/ο | είμαι γιατρός | είμαι εδώ). Έχω для физических ощущений и обладания (έχω κρύο/ζέστη | έχω πείνα/δίψα/ύπνο/φόβο). Греческие идиомы с έχω: έχω δίκιο (прав) | έχω άδικο (не прав) | έχω χρόνο (есть время).;Блок A — Фундамент;Логика блока: Две разные упаковки состояния: быть каким-то (свойство | Именительный) vs иметь что-то (ощущение как объект | Винительный). Первое столкновение с разницей падежной упаковки: русское «мне холодно» (Дательный) → греческое έχω κρύο (Винительный | «имею холод»). Параллель с итальянским ho freddo. Греческое έχω πιο продуктивно чем итальянское avere: έχω δίκιο | έχω ανάγκη | έχω όρεξη.
7;A07;Ερωτήσεις (Вопросы);впереди;25–30;Вопросительные слова: ποιος/ποια/ποιο (кто/какой — Именительный), τι (что — Именительный/Винительный), πού (где/куда — Предложный), πότε (когда), πώς (как), γιατί (почему/потому что), πόσο/πόσα (сколько). Yes/no вопросы: интонация + μήπως (ли — разговорный). Πότενος/πότενης (откуда — Родительный).;Блок A — Фундамент;Логика блока: Каждое вопросительное слово = ярлык на конкретное падежное отношение. Ποιος/ποια/ποιο согласуется по роду/числу — это первое место | где студент видит вопросительное прилагательное (не только наречие). Греческий НЕ использует do-support — вопрос = утверждение с интонацией. Μήπως = разговорный «ли» |.softens вопрос. Подчеркнуть: γιατί = и «почему» | и «потому что» (контекст решает).
8;A08;Υπάρχει / Υπάρχουν (Существование: есть/имеются);впереди;25–30;Конструкция существования. Υπάρχει — единственное | υπάρχουν — множественное. Отрицание δεν υπάρχει / δεν υπάρχουν. Вопрос υπάρχει; / υπάρχουν; Количество: υπάρχει ένα βιβλίο / υπάρχουν δύο βιβλία.;Блок A — Фундамент;Логика блока: Существование vs описание. Το βιβλίο είναι στο τραπέζι (описание известного) vs Στο τραπέζι υπάρχει ένα βιβλίο (наличие нового). Артикль работает индикатором: определённый при είμαι | неопределённый при υπάρχει. Υπάρχει = «имеется» — 3 лицо | не изменяется по лицам (только число). Студент осознанно выбирает конструкцию. Греческое υπάρχει = русское «есть» (в значении существования).
9;A09;Προθέσεις και πτώσεις (Предлоги и падежи);впереди;25–30;Винительный падеж после предлогов: σε (в/на — Предложный/Направительный), από (от/из — Родительный/Источник), για (для/за — Целевой), με (с — Творительный/Совместность), χωρίς (без). Слияние σε + артикль: στο/στη/στον/στις/στα. Генитив без предлога: του βιβλίου (книги). Дативная функция: στον Γιάννη (Яннису — indirectly through σε).;Блок A — Фундамент;Логика блока: КЛЮЧЕВОЙ урок падежной системы. Греческий сохраняет падежи (Именительный/Родительный/Винительный/Звательный) — в отличие от итальянского | где падежи свернулись в предлоги. Но греческие предлоги ВСЕ требуют Винительного (σε/από/για/με/χωρίς). Слияние σε + артикль = το stom (итальянское al/del/nel). Студент видит: греческий падеж — это и окончания существительных | и артикли | и предлоги. Микроблоки: σε+артикль | από | γενитив без предлога | με/χωρίς.
10;A10;Κτητικά (Притяжательность);впереди;25–30;Генитив притяжательный: το βιβλίο του Γιάννη (книга Янниса). Слабые местоимения: μου/σου/του/της/μας/σας/τους — после существительного (το βιβλίο μου). Полные притяжательные: δικός μου/δική μου/δικό μου (мой — согласуется по роду). Разница: το σπίτι μου (мой дом) vs είναι δικό μου (это моё).;Блок A — Фундамент;Логика блока: Притяжательность как Родительный падеж. Το βιβλίο του Γιάννη → το βιβλίο του (свёртка). Два уровня: слабые местоимения (μου/σου/του) = сокращённый генитив | полные (δικός μου) = predicative possessive с согласованием. Студент видит: μου/σου/ту — НЕ меняются по роду (всегда μου) | но δικός/δική/δικό — меняются по трём родам. Контраст с итальянским (il mio/la mia — артикль + притяжательное): греческое το βιβλίο μου = артикль + существительное + местоимение ПОСЛЕ.
