A02 - Άρθρα (Артикли)
Друг здесь (ο, φίλος);Ο φίλος είναι εδώ
Собака бежит (ο, σκύλος);Ο σκύλος τρέχει
Человек работает (ο, άνθρωπος);Ο άνθρωπος δουλεύει
Кофе готов (ο, καφές);Ο καφές είναι έτοιμος
Учитель говорит (ο, δάσκαλος);Ο δάσκαλος μιλάει
Женщина читает (η, γυναίκα);Η γυναίκα διαβάζει
Мать здесь (η, μητέρα);Η μητέρα είναι εδώ
Город красивый (η, πόλη);Η πόλη είναι ωραία
Церковь старая (η, εκκλησία);Η εκκλησία είναι παλιά
Мост большой (η, γέφυρα);Η γέφυρα είναι μεγάλη
Книга на столе (το, βιβλίο);Το βιβλίο είναι στο τραπέζι
Ребёнок играет (το, παιδί);Το παιδί παίζει
Машина новая (το, αυτοκίνητο);Το αυτοκίνητο είναι νέο
Дом большой (το, σπίτι);Το σπίτι είναι μεγάλο
Еда готова (το, φαγητό);Το φαγητό είναι έτοιμο
Один друг (ένας, φίλος);Ένας φίλος
Один врач (ένας, γιατρός);Ένας γιατρός
Одна женщина (μία, γυναίκα);Μία γυναίκα
Одна мать (μία, μητέρα);Μία μητέρα
Одна книга (ένα, βιβλίο);Ένα βιβλίο
Одно дело (ένα, παιδί);Ένα παιδί
Это книга (βιβλίο);Αυτό είναι βιβλίο
Это книга (определённая, το, βιβλίο);Αυτό είναι το βιβλίο
Это одна книга (ένα, βιβλίο);Αυτό είναι ένα βιβλίο
Никос здесь (ο, Νίκος);Ο Νίκος είναι εδώ
Мария читает (η, Μαρία);Η Μαρία διαβάζει
Моя книга (το, βιβλίο, μου);Το βιβλίο μου
Мой друг (ο, φίλος, μου);Ο φίλος μου
Моя мать (η, μητέρα, μου);Η μητέρα μου
Дети играют (τα, παιδιά);Τα παιδιά παίζουν
