A04 - Επίθετα (Прилагательные)
Хороший друг (καλός, φίλος);Ο καλός φίλος
Хорошая подруга (καλή, φίλη);Η καλή φίλη
Хорошее письмо (καλό, γράμμα);Το καλό γράμμα
Хороший человек (καλός, άνθρωπος);Ο καλός άνθρωπος
Хорошая мать (καλή, μητέρα);Η καλή μητέρα
Красивый мужчина (ωραίος, άντρας);Ο ωραίος άντρας
Красивая женщина (ωραία, γυναίκα);Η ωραία γυναίκα
Красивое дитя (ωραίο, παιδί);Το ωραίο παιδί
Новый студент (νέος, φοιτητής);Ο νέος φοιτητής
Новая студентка (νέα, φοιτήτρια);Η νέα φοιτήτρια
Новая книга (νέο, βιβλίο);Το νέο βιβλίο
Тяжёлый стол (βαρύς, τραπέζι);Το βαρύ τραπέζι
Тяжёлая сумка (βαριά, τσάντα);Η βαριά τσάντα
Тяжёлое письмо (βαρύ, γράμμα);Το βαρύ γράμμα
Книга хорошая (βιβλίο, είναι, καλό);Το βιβλίο είναι καλό
Женщина красивая (γυναίκα, είναι, ωραία);Η γυναίκα είναι ωραία
Студент новый (φοιτητής, είναι, νέος);Ο φοιτητής είναι νέος
Сумка тяжёлая (τσάντα, είναι, βαριά);Η τσάντα είναι βαριά
Хороший учитель (καλός, δάσκαλος);Ο καλός δάσκαλος
Хорошая девочка (καλή, κοπέλα);Η καλή κοπέλα
Хорошее дитя (καλό, παιδί);Το καλό παιδί
Хорошие друзья (καλοί, φίλοι);Οι καλοί φίλοι
Хорошие матери (καλές, μητέρες);Οι καλές μητέρες
Хорошие письма (καλά, γράμματα);Τα καλά γράμματα
Красивые мужчины (ωραίοι, άντρες);Οι ωραίοι άντρες
Красивые женщины (ωραίες, γυναίκες);Οι ωραίες γυναίκες
Уставший студент (κουρασμένος, φοιτητής);Ο κουρασμένος φοιτητής
Уставшая студентка (κουρασμένη, φοιτήτρια);Η κουρασμένη φοιτήτρια
Счастливый человек (ευτυχισμένος, άνθρωπος);Ο ευτυχισμένος άνθρωπος
Большой город (μεγάλη, πόλη);Η μεγάλη πόλη
