A06 - Είμαι vs Έχω (Быть и иметь)
Я устал (είμαι, κουρασμένος);Είμαι κουρασμένος
Я устала (είμαι, κουρασμένη);Είμαι κουρασμένη
Он счастлив (είναι, ευτυχισμένος);Είναι ευτυχισμένος
Она грустная (είναι, λυπημένη);Είναι λυπημένη
Я болен (είμαι, άρρωστος);Είμαι άρρωστος
Она больна (είναι, άρρωστη);Είναι άρρωστη
Он врач (είναι, γιατρός);Είναι γιατρός
Я учитель (είμαι, δάσκαλος);Είμαι δάσκαλος
Она студентка (είναι, φοιτήτρια);Είναι φοιτήτρια
Мы ученики (είμαστε, μαθητές);Είμαστε μαθητές
Я здесь (είμαι, εδώ);Είμαι εδώ
Она дома (είναι, σπίτι);Είναι σπίτι
Мне холодно (έχω, κρύο);Έχω κρύο
Ему жарко (έχει, ζέστη);Έχει ζέστη
Я голоден (έχω, πείνα);Έχω πείνα
Она хочет пить (έχει, δίψα);Έχει δίψα
Я прав (έχω, δίκιο);Έχω δίκιο
Ты неправ (έχεις, άδικο);Έχεις άδικο
Он устал — он не имеет холода, он есть уставший (κουρασμένος, κρύο);Είναι κουρασμένος
Ей холодно — она имеет холод, не есть холодная (κρύο, έχει);Έχει κρύο
У меня есть время (έχω, χρόνος);Έχω χρόνο
Мне нужно помочь (έχω, ανάγκη);Έχω ανάγκη
У меня проблема (έχω, πρόβλημα);Έχω πρόβλημα
У меня есть идея (έχω, ιδέα);Έχω ιδέα
Мы устали (είμαστε, κουρασμένοι);Είμαστε κουρασμένοι
Мы устали — мы, женщины (είμαστε, κουρασμένες);Είμαστε κουρασμένες
Вы правы (έχετε, δίκιο);Έχετε δίκιο
Они больны, дети (είναι, άρρωστα);Είναι άρρωστα
Я голоден, но у меня нет времени (πείνα, χρόνος);Έχω πείνα αλλά δεν έχω χρόνο
Мы правы, а вы неправы (δίκιο, άδικο);Έχουμε δίκιο, έχετε άδικο
