A07 - Ερωτήσεις (Вопросы)
Кто это? (ποιος, αυτός);Ποιος είναι αυτός;
Кто эта женщина? (ποια, αυτή, γυναίκα);Ποια είναι αυτή η γυναίκα;
Что это за ребёнок? (ποιο, παιδί);Ποιο είναι αυτό το παιδί;
Какие они студенты? (ποιοι, φοιτητές);Ποιοι είναι οι φοιτητές;
Что это? (τι, αυτό);Τι είναι αυτό;
Что ты делаешь? (τι, κάνεις);Τι κάνεις;
Что он говорит? (τι, λέει);Τι λέει;
Где ты живёшь? (πού, μένεις);Πού μένεις;
Где находится школа? (πού, είναι, σχολείο);Πού είναι το σχολείο;
Куда ты идёшь? (πού, πας);Πού πας;
Когда ты приходишь? (πότε, έρχεσαι);Πότε έρχεσαι;
Когда начинается урок? (πότε, αρχίζει, μάθημα);Πότε αρχίζει το μάθημα;
Когда ты уходишь? (πότε, φεύγεις);Πότε φεύγεις;
Почему ты не ешь? (γιατί, τρως);Γιατί δεν τρως;
Почему она плачет? (γιατί, κλαίει);Γιατί κλαίει;
Потому что я устал (γιατί, είμαι, κουρασμένος);Γιατί είμαι κουρασμένος.
Как тебя зовут? (πώς, σε λένε);Πώς σε λένε;
Как ты пишешь это слово? (πώς, γράφεις, αυτή, λέξη);Πώς γράφεις αυτή τη λέξη;
Как она готовит? (πώς, μαγειρεύει);Πώς μαγειρεύει;
Сколько это стоит? (πόσο, κάνει);Πόσο κάνει;
Сколько времени у тебя есть? (πόσο, χρόνο, έχεις);Πόσο χρόνο έχεις;
Сколько стоят эти книги? (πόσα, κάνουν, αυτά, βιβλία);Πόσα κάνουν αυτά τα βιβλία;
Ты случайно не знаешь, где банк? (μήπως, ξέρεις, πού, τράπεζα);Μήπως ξέρεις πού είναι η τράπεζα;
Ты случайно не говоришь по-гречески? (μήπως, μιλάς, ελληνικά);Μήπως μιλάς ελληνικά;
Случайно не ты Мария? (μήπως, είσαι, Μαρία);Μήπως είσαι η Μαρία;
Откуда ты? (από πού, είσαι);Από πού είσαι;
Какая твоя работа? (τι, δουλειά, κάνεις);Τι δουλειά κάνεις;
Кто хочет кофе? (ποιος, θέλει, καφές);Ποιος θέλει καφέ;
Почему вы здесь? Потому что мы работаем (γιατί, είστε εδώ, γιατί, δουλεύουμε);Γιατί είστε εδώ; Γιατί δουλεύουμε.
Случайно не сегодня закрыт магазин? (μήπως, σήμερα, είναι κλειστό, μαγαζί);Μήπως σήμερα είναι κλειστό το μαγαζί;
