A13 - Συγκριτικά και υπερθετικά (Сравнительная и превосходная степень)
Этот дом больше того (αυτός, σπίτι, μεγάλος, από, εκείνος);Αυτό το σπίτι είναι μεγαλύτερο από εκείνο
Эта женщина красивее той (αυτή, γυναίκα, ωραία, από, εκείνη);Αυτή η γυναίκα είναι πιο ωραία από εκείνη
Этот город больше Афин (αυτός, πόλη, μεγάλη, από, Αθήνα);Αυτή η πόλη είναι μεγαλύτερη από την Αθήνα
Этот студент умнее того (αυτός, φοιτητής, έξυπνος, από, εκείνος);Αυτός ο φοιτητής είναι πιο έξυπνος από εκείνον
Я лучше тебя (καλύτερος, από, εσύ);Είμαι καλύτερος από εσένα
Она лучше него (καλύτερη, από, αυτός);Είναι καλύτερη από αυτόν
Это лучшее решение (καλύτερο, λύση);Αυτή είναι η καλύτερη λύση
Хуже этого нет (χειρότερο, από, αυτός);Δεν υπάρχει χειρότερο από αυτό
Мой брат старше меня (μεγαλύτερος, από, εγώ);Ο αδερφός μου είναι μεγαλύτερος από εμένα
Моя сестра младше меня (μικρότερη, από, εγώ);Η αδερφή μου είναι μικρότερη από εμένα
Это самый маленький дом (ο, μικρός, σπίτι);Αυτό είναι το μικρότερο σπίτι
Она самый хороший врач (ο, καλός, γιατρός);Είναι η καλύτερη γιατρός
Он самый умный студент (ο, έξυπνος, φοιτητής);Είναι ο πιο έξυπνος φοιτητής
Это самая красивая женщина (ο, ωραία, γυναίκα);Είναι η πιο ωραία γυναίκα
Этот дом такой же большой как тот (τόσο, μεγάλος, όσο, εκείνος);Αυτό το σπίτι είναι τόσο μεγάλο όσο εκείνο
Она такая же красивая как Мария (τόσο, ωραία, όσο, Μαρία);Είναι τόσο ωραία όσο η Μαρία
Я такой же высокий как ты (τόσο, ψηλός, όσο, εσύ);Είμαι τόσο ψηλός όσο εσύ
Эта книга такая же интересная как та (τόσο, ενδιαφέρων, όσο, εκείνος);Αυτό το βιβλίο είναι τόσο ενδιαφέρον όσο εκείνο
Прекраснейший сад (ωραίος, κήπος);Ωραιότατος κήπος
Сладчайший плод (γλυκός, καρπός);Γλυκύτατος καρπός
Быстрейший бегун (γρήγορος, δρομέας);Ταχύτατος δρομέας
Умнейший студент (έξυπνος, φοιτητής);Εξυπνότατος φοιτητής
Самый большой дом моего друга (μεγάλος, σπίτι, φίλος);Το μεγαλύτερο σπίτι του φίλου μου
Лучший день года (καλός, μέρα, χρόνος);Η καλύτερη μέρα του χρόνου
Худший фильм года (κακός, ταινία, χρόνος);Η χειρότερη ταινία του χρόνου
Меньшая проблема (μικρός, πρόβλημα);Το μικρότερο πρόβλημα
Она младшая в семье (μικρότερος, οικογένεια);Είναι η μικρότερη στην οικογένεια
Он работает больше чем я (δουλεύει, περισσότερο, από, εγώ);Δουλεύει περισσότερο από εμένα
