A16 - Προστακτική (Повелительное наклонение)
Читай! (διαβάζω, αόριστος);Διάβασε!
Напиши! (γράφω, αόριστος);Γράψε!
Ешь! (τρώω, αόριστος);Φάε!
Приходи! (έρχομαι, αόριστος);Έλα!
Посмотри! (βλέπω, αόριστος);Δες!
Скажи! (λέω, αόριστος);Πες!
Сделай! (κάνω, αόριστος);Κάνε!
Возьми! (παίρνω, αόριστος);Πάρε!
Пей! (πίνω, αόριστος);Πιε!
Найди! (βρίσκω, αόριστος);Βρες!
Дай! (δίνω, αόριστος);Δώσε!
Читайте! (διαβάζω, αόριστος, мн.ч.);Διαβάστε!
Напишите! (γράφω, αόριστος, мн.ч.);Γράψτε!
Ешьте! (τρώω, αόριστος, мн.ч.);Φάτε!
Приходите! (έρχομαι, αόριστος, мн.ч.);Ελάτε!
Посмотрите! (βλέπω, αόριστος, мн.ч.);Δείτε!
Не читай! (μην, διαβάζω, υποτακτική);Μην διαβάσεις!
Не ешь! (μην, τρώω, υποτακτική);Μην φας!
Не уходи! (μην, φεύγω, υποτακτική);Μην φύγεις!
Не волнуйся! (μην, ανησυχώ, υποτακτική);Μην ανησυχείς!
Будь осторожен (να, προσέχω, υποτακτική);Να προσέχεις.
Отдыхай (να, ξεκουράζομαι, υποτακτική);Να ξεκουράζεσαι.
Питайся хорошо (να, τρώω, υποτακτική);Να τρως καλά.
Говори медленно! (μιλάω, ενεστώτας);Μίλα αργά!
Подожди! (περιμένω, αόριστος);Περίμενε!
Встань! (σηκώνομαι, αόριστος);Σήκω!
Не пей! (μην, πίνω, υποτακτική);Μην πιεις!
Скажите! (λέω, αόριστος, мн.ч.);Πείτε!
Не говорите быстро! (μην, μιλάω, υποτακτική, мн.ч.);Μην μιλάτε γρήγορα!
Делайте упражнения! (κάνω, αόριστος, мн.ч.);Κάντε ασκήσεις!
