Урок;Тема;Статус;Предложений;Описание;Примечание;Комментарий_по_развитию
1;A01;Presente Indicativo;впереди;60–70;Настоящее время. Все три группы (-are/-ere/-ire) | ключевые неправильные essere/avere/andare/fare | базовое отрицание non | простые вопросы. 2-3 готовые формулы: mi chiamo | mi sento (без системы).;Блок A — Фундамент;Логика блока: Дать основной двигатель (глагол) немедленно. Микроблоки: регулярные -are/-ere/-ire | ключевые неправильные | отрицание non | простые вопросы. Цель — автоматизм лиц io/tu/lui/noi/voi/loro. Подлежащее задаёт Им.п. позицией и опускается (личное окончание уже несёт лицо). Возвратные не разворачивать здесь | только клише для выживания (полноценно — B13).
2;A02;Articoli (det. + indet.);впереди;60–70;Определённый il/lo/la/l'/i/gli/le и неопределённый un/uno/una/un'. Когда ставить | когда нет.;Блок A — Фундамент;Логика блока: Артикль = указатель на статус существительного (знакомое/новое | конкретное/любое). Минимальные пары без теории: un libro / il libro. Контроль артиклей начинается здесь и идёт через весь курс. Артикль будет нести падежную информацию через слияние с предлогами (см. A09).
3;A03;Sostantivi: genere e numero;впереди;50–60;Род и число существительных. Окончания -o/-a/-e → -i/-e. Исключения: -ista | -ema | -tà | -ore.;Блок A — Фундамент;Логика блока: Внутренняя логика окончаний — это база | на которой будут работать все согласования (прилагательные | participio | possessivi). Без автоматизма род/число дальше всё развалится. Тренировать через минимальные пары: ragazzo/ragazza/ragazzi/ragazze.
4;A04;Aggettivi;впереди;50–60;Согласование прилагательных по роду и числу: bello/bella/belli/belle. Позиция до и после существительного.;Блок A — Фундамент;Логика блока: Прилагательное — расширение существительного | согласование = эхо рода и числа. Сначала автоматизм | потом позиция и смысл: una casa bella / un bel ragazzo. Антипример: un povero uomo (бедняжка) vs un uomo povero (бедный). Студент осознанно согласовывает артикль+сущ+прилаг.
5;A05;Forma di cortesia (Lei): solo Indicativo;впереди;40–50;Вежливое обращение Lei = 3 лицо ед.ч. ТОЛЬКО Indicativo: Lei parla italiano? Come si chiama? Lei è stanco? Lei ha fame? Контраст tu/Lei в одних и тех же фразах.;Блок A — Фундамент;Логика блока: Регистр как смысловое отношение «дистанция/уважение». ЖЁСТКОЕ ОГРАНИЧЕНИЕ: только Indicativo формы Lei. НЕ давать здесь императив Lei (Parli!/Venga!/Mi dica!) — это форма Congiuntivo | вводится в A16 как след | системно — в B25/B26. Здесь готовим только чувствительность к регистру и привычку к 3 лицу как форме вежливости.
6;A06;Essere vs Avere (состояния);впереди;50–60;Essere для свойств и состояний (sono stanco/triste/giovane). Avere для физических ощущений (ho freddo/fame/sete/sonno/paura/ragione).;Блок A — Фундамент;Логика блока: Две разные упаковки состояния: быть каким-то (свойство | Им.п.) vs иметь что-то (ощущение как объект | Вин.п.). Первое столкновение с разницей падежной упаковки: русское «мне холодно» (Дат.п.) → итальянское ho freddo (Вин.п. | «имею холод»). Принимается через повторение и осознание механизма | а не через перевод.
7;A07;Domande (W-questions);впереди;50–60;Вопросительные слова как ярлыки падежей: chi (Им.) | che cosa (Им./Вин.) | a chi (Дат.) | di chi (Род./тема) | con chi (Твор.) | dove (Предл.) | quando | come | perché | quanto.;Блок A — Фундамент;Логика блока: Каждое вопросительное слово = ярлык на конкретное падежное отношение. Первая систематизация падежной карты. Подчеркнуть: в итальянском нет английского do-support. Студент строит вопрос осознанно | понимая инверсию или её отсутствие.
8;A08;C'è / Ci sono;впереди;40–50;Конструкция существования. C'è — единственное | ci sono — множественное. Отрицание | вопрос | количество.;Блок A — Фундамент;Логика блока: Существование vs описание. Il libro è sul tavolo (описание известного) vs Sul tavolo c'è un libro (наличие нового). Артикль работает индикатором: определённый при essere | неопределённый при c'è. Студент осознанно выбирает конструкцию.
9;A09;Preposizioni semplici e articolate;впереди;60–70;di (Род.: принадлежность | тема | материал) | a (Дат.: адресат; направление) | da (Род.: происхождение | источник; Твор.: агент пассива) | in/su/a (Предл.: место) | con (Твор.: совместность | инструмент) | per (цель | бенефициар). Слияние с артиклем: al/della/nel/sul/dagli и т.д.;Блок A — Фундамент;Логика блока: КЛЮЧЕВОЙ урок падежной системы для русскоязычного. Здесь системно собирается падежная карта итальянского. Не зубрить предлоги — узнавать русские падежные смыслы в новой упаковке. Микроблоки: a+articolo | di+articolo | in+articolo. Без этого блока невозможны последующие времена | местоимения и относительные.
10;A10;Possessivi;впереди;50–60;il mio/la mia/i miei/le mie | tuo/suo/nostro/vostro/loro. Особенность: с родственниками в ед.ч. без артикля (mia madre | mio fratello | НО i miei fratelli).;Блок A — Фундамент;Логика блока: Притяжательность как свёрнутый Род.п.: il libro di Marco → il suo libro. Это та же смысловая ячейка | упакованная иначе. Студент видит: possessivo = свёртка предложной конструкции с di.
