B08 - Futuro Anteriore
Я закончу работу к вечеру (avrò, finito, lavoro);Avrò finito il lavoro
Я пойду домой до пяти (sarò, andato, casa);Sarò andato a casa
Мы купим дом к лету (avremo, comprato, casa);Avremo comprato una casa
Ты приготовишь ужин к семи (avrai, cucinato, cena);Avrai cucinato la cena
Она уйдёт до нашего прихода (sarà, andata);Sarà andata via
Он напишет письмо к завтрашнему дню (avrà, scritto, lettera);Avrà scritto la lettera
Мы уберём кухню до их приезда (avremo, pulito, cucina);Avremo pulito la cucina
Когда ты придёшь, я уже закончу (quando, arrivi, avrò, già, finito);Quando arrivi, avrò già finito
Когда они приедут, мы уже приготовим ужин (quando, arrivano, avremo, già, cucinato, cena);Quando arrivano, avremo già cucinato la cena
Когда она позвонит, я уже куплю билеты (quando, telefona, avrò, già, comprato, biglietti);Quando telefona, avrò già comprato i biglietti
Когда ты проснёшься, я уже уйду на работу (quando, ti svegli, sarò, già, andato, lavoro);Quando ti svegli, sarò già andato al lavoro
Когда семья приедет, мы уже уберём дом (quando, famiglia, arriva, avremo, già, pulito, casa);Quando la famiglia arriva, avremo già pulito la casa
К тому времени я уже прочитаю книгу (a quel punto, avrò, già, letto, libro);A quel punto avrò già letto il libro
К вечеру она уже придёт домой (alla sera, sarà, già, arrivata, casa);Alla sera sarà già arrivata a casa
К завтрашнему утру он уже сделает подарок (domani mattina, avrà, già, fatto, regalo);Domani mattina avrà già fatto il regalo
Наверное, он уже пришёл (sarà, già, arrivato);Sarà già arrivato
Наверное, они уже купили машину (avranno, già, comprato, macchina);Avranno già comprato la macchina
Наверное, она уже ушла (sarà, già, andata);Sarà già andata via
Возможно, они уже пообедали (avranno, già, pranzato);Avranno già pranzato
Может быть, он уже прочитал книгу (avrà, già, letto, libro);Avrà già letto il libro
Наверное, дети уже проснулись (saranno, già, svegliati);I bambini saranno già svegliati
Должно быть, она уже приготовила ужин (avrà, già, cucinato, cena);Avrà già cucinato la cena
Наверное, семья уже уехала (sarà, già, partita, famiglia);La famiglia sarà già partita
Возможно, ты уже видел этот фильм (avrai, già, visto, film);Avrai già visto il film
К концу года мы выучим много слов (alla fine dell'anno, avremo, imparato, molte, parole);Alla fine dell'anno avremo imparato molte parole
К лету она найдёт новую работу (in estate, avrà, trovato, lavoro, nuovo);In estate avrà trovato un lavoro nuovo
К завтрашнему дню я закончу читать (domani, avrò, finito, di leggere);Domani avrò finito di leggere
Они построят дом к декабрю (avranno, costruito, casa, dicembre);Avranno costruito la casa per dicembre
К следующей неделе он продаст машину (la prossima settimana, avrà, venduto, macchina);La prossima settimana avrà venduto la macchina
Мы вернёмся до темноты (saremo, tornati, prima del buio);Saremo tornati prima del buio
Когда ты позвонишь, я уже буду спать (quando, telefoni, sarò, già, andato a dormire);Quando telefoni, sarò già andato a dormire
Когда начнётся фильм, мы уже поужинаем (quando, inizia, film, avremo, già, cenato);Quando inizia il film, avremo già cenato
Когда учитель придёт, студенты уже сделают упражнение (quando, arriva, insegnante, studenti, avranno, già, fatto, esercizio);Quando arriva l'insegnante, gli studenti avranno già fatto l'esercizio
Когда я приду, ты уже проснёшься? (quando, arrivo, ti sarai, già, svegliato);Quando arrivo, ti sarai già svegliato?
Когда они приедут в город, мы уже найдём отель (quando, arrivano in città, avremo, già, trovato, albergo);Quando arrivano in città, avremo già trovato un albergo
К тому моменту она уже напишет книгу (a quel momento, avrà, già, scritto, libro);A quel momento avrà già scritto il libro
Я закончу работать до обеда (avrò, finito, di lavorare, prima di pranzo);Avrò finito di lavorare prima di pranzo
Ты выучишь все слова к экзамену (avrai, imparato, tutte, le parole, per l'esame);Avrai imparato tutte le parole per l'esame
Мы заплатим за дом к пятнице (avremo, pagato, casa, venerdì);Avremo pagato la casa per venerdì
Он ответит на все вопросы к вечеру (avrà, risposto, a tutte, le domande, alla sera);Avrà risposto a tutte le domande alla sera
Она приготовит завтрак до нашего прихода (avrà, preparato, colazione, prima del nostro arrivo);Avrà preparato la colazione prima del nostro arrivo
Вы сделаете подарок к её дню рождения (avrete, fatto, regalo, per il suo compleanno);Avrete fatto un regalo per il suo compleanno
Они уберут весь дом до праздника (avranno, pulito, tutta, la casa, prima della festa);Avranno pulito tutta la casa prima della festa
Наверное, он уже начал работать (avrà, già, iniziato, a lavorare);Avrà già iniziato a lavorare
Может быть, они уже ушли из дома (saranno, già, usciti, di casa);Saranno già usciti di casa
Должно быть, она уже прочитала газету (avrà, già, letto, giornale);Avrà già letto il giornale
Возможно, мы уже видели этот город (avremo, già, visto, città);Avremo già visto questa città
