B19 - Infinito Passato
После покупки дома, я убрал кухню (dopo, aver, comprato, casa, pulire);Dopo aver comprato una casa, ho pulito la cucina
После того как ушёл домой, он купил машину (dopo, essere, andato, casa, comprare, macchina);Dopo essere andato a casa, ha comprato la macchina
После того как сделал подарок, она приготовила обед (dopo, aver, fatto, regalo, cucinare);Dopo aver fatto un regalo, ha cucinato
После того как мы приготовили, мы убрали кухню (dopo, aver, cucinato, pulire);Dopo aver cucinato, abbiamo pulito la cucina
После того как он пришёл, мы поработали вместе (dopo, essere, venuto, lavorare, insieme);Dopo essere venuto, abbiamo lavorato insieme
После того как она ушла, он прочитал новую книгу (dopo, essere, andata, leggere, libro, nuovo);Dopo essere andata, ha letto un libro nuovo
После того как мы сделали работу, мы приготовили ужин (dopo, aver, fatto, lavoro, cucinare, cena);Dopo aver fatto il lavoro, abbiamo cucinato la cena
После того как они уехали, семья купила дом (dopo, essere, partiti, famiglia, comprare, casa);Dopo essere partiti, la famiglia ha comprato una casa
После того как она убрала кухню, она сделала подарок (dopo, aver, pulito, cucina, fare, regalo);Dopo aver pulito la cucina, ha fatto un regalo
После того как пришёл, он поработал сегодня (dopo, essere, venuto, lavorare, oggi);Dopo essere venuto, ha lavorato oggi
После того как мы прочитали книгу, мы её купили (dopo, aver, letto, libro, comprare);Dopo aver letto il libro, l'abbiamo comprato
После того как выпили кофе, мы начали работать (dopo, aver, bevuto, caffè, iniziare, lavorare);Dopo aver bevuto il caffè, abbiamo iniziato a lavorare
После того как он написал письмо, он отправил его (dopo, aver, scritto, lettera, mandare);Dopo aver scritto la lettera, l'ha mandata
После того как они закончили урок, студенты ушли (dopo, aver, finito, lezione, studenti, uscire);Dopo aver finito la lezione, gli studenti sono usciti
После того как она проснулась, она приняла душ (dopo, essersi, svegliata, fare, doccia);Dopo essersi svegliata, ha fatto la doccia
После того как мы пообедали, мы пошли гулять (dopo, aver, pranzato, andare, camminare);Dopo aver pranzato, siamo andati a camminare
После того как он закрыл дверь, он лёг спать (dopo, aver, chiuso, porta, andare, letto);Dopo aver chiuso la porta, è andato a letto
После того как они открыли окно, в комнате стало прохладно (dopo, aver, aperto, finestra, stanza, fresco);Dopo aver aperto la finestra, nella stanza è diventato fresco
После того как она помыла посуду, она вытерла руки (dopo, aver, lavato, piatti, asciugare, mani);Dopo aver lavato i piatti, ha asciugato le mani
После того как мы купили продукты, мы вернулись домой (dopo, aver, comprato, cibo, tornare, casa);Dopo aver comprato il cibo, siamo tornati a casa
После того как он поужинал, он посмотрел фильм (dopo, aver, cenato, guardare, film);Dopo aver cenato, ha guardato un film
