C01 - Congiuntivo Trapassato
Если бы я купил дом (se, avessi, comprato, casa);Se avessi comprato una casa
Если бы ты пошёл домой (se, fossi, andato, casa);Se fossi andato a casa
Если бы он сделал подарок (se, avesse, fatto, regalo);Se avesse fatto un regalo
Если бы мы убрали кухню (se, avessimo, pulito, cucina);Se avessimo pulito la cucina
Если бы вы приготовили ужин (se, aveste, cucinato, cena);Se aveste cucinato la cena
Если бы они жили в том самом доме (se, avessero, abitato, casa);Se avessero abitato nella casa
Если бы она пошла на работу (se, fosse, andata, lavoro);Se fosse andata al lavoro
Если бы та самая семья приготовила ужин (se, famiglia, avesse, cucinato);Se la famiglia avesse cucinato
Если бы он купил ту самую новую машину (se, avesse, comprato, macchina, nuovo);Se avesse comprato la macchina nuova
Если бы та самая кухня была чистая (se, cucina, fosse, stata, pulita);Se la cucina fosse stata pulita
Если бы та самая книга была большая (se, libro, fosse, stato, grande);Se il libro fosse stato grande
Если бы мы были дома вчера (se, fossimo, stati, casa, ieri);Se fossimo stati a casa ieri
Если бы она уже прочитала книгу (se, avesse già, letto, libro);Se avesse già letto il libro
Если бы они увидели тот самый фильм (se, avessero, visto, film);Se avessero visto il film
Если бы я написал письмо (se, avessi, scritto, lettera);Se avessi scritto una lettera
Если бы ты спал достаточно (se, avessi, dormito, abbastanza);Se avessi dormito abbastanza
Если бы тот самый ребёнок вырос там (se, bambino, fosse, cresciuto, lì);Se il bambino fosse cresciuto lì
Если бы она стала врачом (se, fosse, diventata, medico);Se fosse diventata medico
Если бы мы нашли тот самый город (se, avessimo, trovato, città);Se avessimo trovato la città
Если бы они поняли проблему (se, avessero, capito, problema);Se avessero capito il problema
Если бы я остался дома (se, fossi, rimasto, casa);Se fossi rimasto a casa
Если бы ты узнал правду (se, avessi, saputo, verità);Se avessi saputo la verità
Если бы тот самый друг пришёл (se, amico, fosse, venuto);Se l'amico fosse venuto
Если бы мы начали работу (se, avessimo, iniziato, lavoro);Se avessimo iniziato il lavoro
Если бы она забыла тот самый секрет (se, avesse, dimenticato, segreto);Se avesse dimenticato il segreto
Если бы они выбрали ту самую дорогу (se, avessero, scelto, strada);Se avessero scelto la strada
Если бы я вернулся домой (se, fossi, tornato, casa);Se fossi tornato a casa
Если бы ты взял тот самый подарок (se, avessi, preso, regalo);Se avessi preso il regalo
Если бы тот самый отец работал (se, padre, avesse, lavorato);Se il padre avesse lavorato
Если бы мы закрыли дверь (se, avessimo, chiuso, porta);Se avessimo chiuso la porta
Если бы она потеряла ключи (se, avesse, perso, chiavi);Se avesse perso le chiavi
Если бы они открыли окно (se, avessero, aperto, finestra);Se avessero aperto la finestra
Я думал, что ты купил дом (pensavo che, avessi, comprato, casa);Pensavo che avessi comprato una casa
Я думал, что ты пошёл домой (pensavo che, fossi, andato, casa);Pensavo che fossi andato a casa
Я думал, что ты сделал подарок (pensavo che, avessi, fatto, regalo);Pensavo che avessi fatto un regalo
Я верил, что та самая кухня была чистая (credevo che, cucina, fosse, stata, pulita);Credevo che la cucina fosse stata pulita
Я думал, что они жили в том самом городе (pensavo che, avessero, vissuto, città);Pensavo che avessero vissuto nella città
Та самая семья думала, что мы уехали (famiglia, pensava che, fossimo, partiti);La famiglia pensava che fossimo partiti
Я думал, что он уже прочитал книгу (pensavo che, avesse già, letto, libro);Pensavo che avesse già letto il libro
Она думала, что я написал письмо (credeva che, avessi, scritto, lettera);Credeva che avessi scritto una lettera
Мы думали, что тот самый друг остался (credevamo che, amico, fosse, rimasto);Credevamo che l'amico fosse rimasto
Я думал, что ты увидел тот самый фильм (pensavo che, avessi, visto, film);Pensavo che avessi visto il film
