C03 - Periodo ipotetico misto
Если бы я купил дом, сейчас жил бы там (se, avessi, comprato, casa, ora, abiterei, lì);Se avessi comprato una casa, ora abiterei lì
Если бы я пошёл домой, сейчас работал бы (se, fossi, andato, casa, ora, lavorerei);Se fossi andato a casa, ora lavorerei
Если бы я сделал подарок, сейчас был бы дома (se, avessi, fatto, regalo, ora, sarei, casa);Se avessi fatto un regalo, ora sarei a casa
Если бы та самая семья уехала, сегодня была бы дома (se, famiglia, fosse, partita, oggi, sarebbe, casa);Se la famiglia fosse partita, oggi sarebbe a casa
Если бы мы приготовили, сейчас работали бы вместе (se, avessimo, cucinato, ora, lavoreremmo, insieme);Se avessimo cucinato, ora lavoreremmo insieme
Если бы ты учил язык, сейчас понимал бы больше (se, avessi, studiato, lingua, ora, capiresti, di più);Se avessi studiato la lingua, ora capiresti di più
Если бы она прочитала книгу, сейчас знала бы историю (se, avesse, letto, libro, ora, saprebbe, storia);Se avesse letto il libro, ora saprebbe la storia
Если бы они приехали, сейчас были бы здесь (se, fossero, venuti, ora, sarebbero, qui);Se fossero venuti, ora sarebbero qui
Если бы тот самый магазин был открыт, сейчас покупал бы хлеб (se, negozio, fosse, stato, aperto, ora, comprerei, pane);Se il negozio fosse stato aperto, ora comprerei il pane
Если бы мы нашли тот самый город, сейчас жили бы там (se, avessimo, trovato, città, ora, abiteremmo, lì);Se avessimo trovato la città, ora abiteremmo lì
Если бы та самая машина была новая, сейчас стоила бы дорого (se, macchina, fosse, stata, nuova, ora, costerebbe, molto);Se la macchina fosse stata nuova, ora costerebbe molto
Если бы я получил работу, сейчас переезжал бы (se, avessi, ricevuto, lavoro, ora, mi, trasferirei);Se avessi ricevuto il lavoro, ora mi trasferirei
Если бы та самая книга была интересная, сейчас читал бы (se, libro, fosse, stato, interessante, ora, lo, leggerei);Se il libro fosse stato interessante, ora lo leggerei
Если бы ты помог, сейчас finishingали бы (se, avessi, aiutato, ora, finiremmo);Se avessi aiutato, ora finiremmo
Если бы та самая погода была хорошая, сейчас шли бы в парк (se, tempo, fosse, stato, buono, ora, andremmo, parco);Se il tempo fosse stato buono, ora andremmo al parco
Если бы тот самый фильм был хороший, сейчас смотрели бы (se, film, fosse, stato, buono, ora, lo, vedremmo);Se il film fosse stato buono, ora lo vedremmo
Если бы она написала письмо, сейчас ждала бы ответ (se, avesse, scritto, lettera, ora, aspetterebbe, risposta);Se avesse scritto la lettera, ora aspetterebbe una risposta
Если бы тот самый друг позвонил, сейчас говорили бы (se, amico, avesse, chiamato, ora, parlerebbe);Se l'amico avesse chiamato, ora parlerebbe
Если бы мы закрыли дверь, сейчас были бы в безопасности (se, avessimo, chiuso, porta, ora, saremmo, al sicuro);Se avessimo chiuso la porta, ora saremmo al sicuro
Если бы тот самый студент сдал экзамен, сейчас работал бы (se, studente, avesse, superato, esame, ora, lavorerebbe);Se lo studente avesse superato l'esame, ora lavorerebbe
Если бы та самая кухня была чистая, сейчас готовили бы (se, cucina, fosse, stata, pulita, ora, cucineremmo);Se la cucina fosse stata pulita, ora cucineremmo
Если бы я выпил кофе, сейчас не спал бы (se, avessi, bevuto, caffè, ora, non, dormirei);Se avessi bevuto il caffè, ora non dormirei
Если бы тот самый ребёнок заснул, сейчас отдыхал бы (se, bambino, fosse, addormentato, ora, riposerebbe);Se il bambino si fosse addormentato, ora riposerebbe
Если бы та самая школа была близко, сейчас ходили бы туда (se, scuola, fosse, stata, vicina, ora, ci, andremmo);Se la scuola fosse stata vicina, ora ci andremmo
Если бы та самая кухня была большая, мы бы приготовили (se, cucina, fosse, pulita, avremmo, cucinato);Se la cucina fosse pulita, avremmo cucinato
Если бы та самая книга была новая, я купил бы (se, libro, fosse, nuovo, lo, avrei, comprato);Se il libro fosse nuovo, l'avrei comprato
Если бы дом был красивый, та самая семья купила бы (se, casa, fosse, bella, famiglia, l'avrebbe, comprata);Se la casa fosse bella, la famiglia l'avrebbe comprata
Если бы та самая машина была большая, мы поехали бы вместе (se, macchina, fosse, grande, saremmo, andati, insieme);Se la macchina fosse grande, saremmo andati insieme
Если бы тот самый подарок был маленький, купил бы (se, regalo, fosse, piccolo, lo, avrei, comprato);Se il regalo fosse piccolo, l'avrei comprato
Если бы та самая кухня была новая, приготовили бы (se, cucina, fosse, nuova, avremmo, cucinato);Se la cucina fosse nuova, avremmo cucinato
Если бы та самая машина была красивая, та самая семья поехала бы (se, macchina, fosse, bella, famiglia, sarebbe, andata, casa);Se la macchina fosse bella, la famiglia sarebbe andata a casa
Если бы мы жили в том самом доме, та самая семья уже приехала бы (se, abitassimo, casa, famiglia, sarebbe, già, arrivata);Se abitassimo nella casa, la famiglia sarebbe già arrivata
Если бы тот самый город был тихий, мы бы переехали туда (se, città, fosse, tranquilla, ci, saremmo, trasferiti);Se la città fosse tranquilla, ci saremmo trasferiti
Если бы тот самый профессор объяснил, мы бы поняли (se, professore, spiegasse, capiremmo);Se il professore spiegasse, capiremmo
Если бы та самая работа была лёгкая, я бы взял (se, lavoro, fosse, facile, lo, avrei, preso);Se il lavoro fosse facile, l'avrei preso
Если бы та самая машина не была дорогая, купили бы (se, macchina, non, fosse, costosa, l'avremmo, comprata);Se la macchina non fosse costosa, l'avremmo comprata
Если бы тот самый ресторан был открыт, мы бы пообедали (se, ristorante, fosse, aperto, avremmo, pranzato);Se il ristorante fosse aperto, avremmo pranzato
Если бы та самая история была длинная, не finishingали бы (se, storia, fosse, lunga, non, avremmo, finito);Se la storia fosse lunga, non avremmo finito
Если бы тот самый договор был готов, подписали бы (se, contratto, fosse, pronto, l'avremmo, firmato);Se il contratto fosse pronto, l'avremmo firmato
Если бы та самая книга была полезная, прочитали бы (se, libro, fosse, utile, lo, avremmo, letto);Se il libro fosse utile, l'avremmo letto
Если бы тот самый концерт был вечером, пошли бы (se, concerto, fosse, stasera, saremmo, andati);Se il concerto fosse stasera, saremmo andati
Если бы та самая проблема была простая, решили бы (se, problema, fosse, semplice, l'avremmo, risolto);Se il problema fosse semplice, l'avremmo risolto
Если бы тот самый друг был в городе, встретились бы (se, amico, fosse, in città, ci, saremmo, visti);Se l'amico fosse in città, ci saremmo visti
Если бы та самая погода была тёплая, пошли бы на море (se, tempo, fosse, caldo, saremmo, andati, mare);Se il tempo fosse caldo, saremmo andati al mare
Если бы я знал ответ, сказал бы (se, sapessi, risposta, la, direi);Se sapessi la risposta, la direi
Если бы та самая девушка хотела, мы бы помогли (se, ragazza, volesse, l'avremmo, aiutata);Se la ragazza volesse, l'avremmo aiutata
Если бы тот самый автобус приходил, мы бы уехали (se, autobus, arrivasse, saremmo, partiti);Se l'autobus arrivasse, saremmo partiti
Если бы та самая встреча была важная, пошли бы (se, incontro, fosse, importante, saremmo, andati);Se l'incontro fosse importante, saremmo andati
Если бы тот самый проект был интересный, участвовали бы (se, progetto, fosse, interessante, avremmo, partecipato);Se il progetto fosse interessante, avremmo partecipato
Если бы та самая новость была плохая, расстроились бы (se, notizia, fosse, cattiva, saremmo, rimasti, male);Se la notizia fosse cattiva, saremmo rimasti male
Если бы тот самый врач был доступен, записались бы (se, medico, fosse, disponibile, avremmo, preso, appuntamento);Se il medico fosse disponibile, avremmo preso un appuntamento
Если бы та самая ошибка была серьёзная, исправили бы (se, errore, fosse, grave, l'avremmo, corretto);Se l'errore fosse grave, l'avremmo corretto
Если бы я помнил адрес, написал бы (se, ricordassi, indirizzo, scriverei);Se ricordassi l'indirizzo, scriverei
Если бы та самая сумка была лёгкая, взял бы (se, borsa, fosse, leggera, la, prenderei);Se la borsa fosse leggera, la prenderei
Если бы тот самый чай был горячий, выпил бы (se, tè, fosse, caldo, lo, berrei);Se il tè fosse caldo, lo berrei
Если бы та самая музыка была тихая, слушали бы (se, musica, fosse, bassa, l'ascolteremmo);Se la musica fosse bassa, l'ascolteremmo
