C09 - Trapassato Remoto
Когда он купил дом, стал работать (quando, ebbe, comprato, casa, lavorò);Quando ebbe comprato la casa, lavorò
Когда он пришёл домой, увидел подарок (quando, fu, venuto, casa, vide, regalo);Quando fu venuto a casa, vide il regalo
Когда он сделал подарок, пошёл на работу (quando, ebbe, fatto, regalo, andò, lavoro);Quando ebbe fatto il regalo, andò al lavoro
Как только он купил ту самую машину, уехал (appena, ebbe, comprato, macchina, partì);Appena ebbe comprato la macchina, partì
Когда он написал книгу, купил тот самый большой дом (dopo che, ebbe, scritto, libro, comprò, casa, grande);Dopo che ebbe scritto il libro, comprò la casa grande
Когда та самая семья купила новый дом, стала жить там (quando, famiglia, ebbe, comprato, casa, nuova, abitò, lì);Quando la famiglia ebbe comprato la casa nuova, abitò lì
Как только они пришли, приготовили ужин (appena, furono, venuti, cucinarono, cena);Appena furono venuti, cucinarono la cena
Когда они убрали ту самую кухню, стали работать (dopo che, ebbero, pulito, cucina, lavorarono);Dopo che ebbero pulito la cucina, lavorarono
Когда она приготовила, позвала семью (quando, ebbe, cucinato, chiamò, famiglia);Quando ebbe cucinato, chiamò la famiglia
Как только они уехали, тот самый большой дом был пустой (appena, furono, partiti, casa, grande, fu, vuota);Appena furono partiti, la casa grande fu vuota
Когда они купили ту самую красивую машину, стали работать вместе (quando, ebbero, comprato, macchina, bella, lavorarono, insieme);Quando ebbero comprato la macchina bella, lavorarono insieme
Когда он сделал тот самый подарок, сказал (quando, ebbe, fatto, regalo, disse);Quando ebbe fatto il regalo, disse
Когда я купил дом, позвал друзей (quando, ebbi, comprato, casa, chiamai, amici);Quando ebbi comprato la casa, chiamai gli amici
Когда я пришёл, увидел ту самую книгу (quando, fui, venuto, vidi, libro);Quando fui venuto, vidi il libro
Когда я прочитал книгу, написал рецензию (dopo che, ebbi, letto, libro, scrissi, recensione);Dopo che ebbi letto il libro, scrissi una recensione
Когда мы приготовили ужин, позвали семью (quando, avemmo, cucinato, cena, chiamammo, famiglia);Quando avemmo cucinato la cena, chiamammo la famiglia
Когда мы убрали кухню, пошли гулять (dopo che, avemmo, pulito, cucina, uscimmo);Dopo che avemmo pulito la cucina, uscimmo
Когда вы закончили работу, пошли домой (quando, aveste, finito, lavoro, andaste, casa);Quando aveste finito il lavoro, andaste a casa
Как только ты написал письмо, отправил (appena, avesti, scritto, lettera, spedisti);Appena avesti scritto la lettera, la spedisti
Когда та самая семья переехала, начала новую жизнь (quando, famiglia, si, fu, trasferita, iniziò, vita, nuova);Quando la famiglia si fu trasferita, iniziò una vita nuova
Когда тот самый студент сдал экзамен, праздновал (dopo che, studente, ebbe, superato, esame, festeggiò);Dopo che lo studente ebbe superato l'esame, festeggiò
Когда та самая девушка нашла работу, купила машину (quando, ragazza, ebbe, trovato, lavoro, comprò, macchina);Quando la ragazza ebbe trovato il lavoro, comprò la macchina
Когда тот самый врач осмотрел пациента, выписал рецепт (quando, medico, ebbe, visitato, paziente, scrisse, ricetta);Quando il medico ebbe visitato il paziente, scrisse la ricetta
Когда та самая мать приготовила, позвала детей (quando, madre, ebbe, cucinato, chiamò, figli);Quando la madre ebbe cucinato, chiamò i figli
Когда тот самый друг помог, мы поблагодарили (dopo che, amico, ebbe, aiutato, ringraziammo);Dopo che l'amico ebbe aiutato, ringraziammo
Когда тот самый коллега предложил план, мы обсудили (quando, collega, ebbe, proposto, piano, discutemmo);Quando il collega ebbe proposto il piano, lo discutemmo
Когда та самая женщина открыла магазин, начала работать (quando, donna, ebbe, aperto, negozio, iniziò, lavorare);Quando la donna ebbe aperto il negozio, iniziò a lavorare
Когда тот самый профессор объяснил, студенты поняли (quando, professore, ebbe, spiegato, studenti, capirono);Quando il professore ebbe spiegato, gli studenti capirono
Когда та самая актриса сыграла роль, зрители аплодировали (quando, attrice, ebbe, recitato, ruolo, pubblico, applaudì);Quando l'attrice ebbe recitato il ruolo, il pubblico applaudì
Когда тот самый спортсмен выиграл, страна праздновала (dopo che, atleta, ebbe, vinto, paese, festeggiò);Dopo che l'atleta ebbe vinto, il paese festeggiò
Когда он выпил кофе, пошёл на работу (quando, ebbe, bevuto, caffè, andò, lavoro);Quando ebbe bevuto il caffè, andò al lavoro
Когда она закрыла дверь, села (quando, ebbe, chiuso, porta, si, sedette);Quando ebbe chiuso la porta, si sedette
Когда тот самый президент закончил речь, все встали (quando, presidente, ebbe, finito, discorso, tutti, si, alzarono);Quando il presidente ebbe finito il discorso, tutti si alzarono
Когда та самая война закончилась, люди вернулись (quando, guerra, fu, finita, persone, tornarono);Quando la guerra fu finita, le persone tornarono
Когда тот самый корабль ушёл в море, начался шторм (quando, nave, fu, partita, iniziò, tempesta);Quando la nave fu partita, iniziò la tempesta
Когда та самая книга вышла, стала знаменитой (quando, libro, fu, pubblicato, divenne, famoso);Quando il libro fu pubblicato, divenne famoso
Когда тот самый договор был подписан, работа началась (quando, contratto, fu, firmato, lavoro, iniziò);Quando il contratto fu firmato, il lavoro iniziò
Когда та самая встреча закончилась, пошли домой (quando, incontro, fu, finito, andarono, casa);Quando l'incontro fu finito, andarono a casa
Как только та самая музыка стихла, все заговорили (appena, musica, fu, finita, tutti, parlarono);Appena la musica fu finita, tutti parlarono
Когда я нашёл ключи, открыл дверь (quando, ebbi, trovato, chiavi, aprii, porta);Quando ebbi trovato le chiavi, aprii la porta
Когда мы увидели тот самый город, остановились (quando, avemmo, visto, città, ci, fermammo);Quando avemmo visto la città, ci fermammo
Когда они построили дом, переехали (quando, ebbero, costruito, casa, si, trasferirono);Quando ebbero costruito la casa, si trasferirono
Когда она прочитала ту самую книгу, рассказала другу (dopo che, ebbe, letto, libro, raccontò, ad, amico);Dopo che ebbe letto il libro, raccontò all'amico
Когда тот самый художник нарисовал картину, выставил (quando, artista, ebbe, dipinto, quadro, lo, espose);Quando l'artista ebbe dipinto il quadro, lo espose
Когда та самая семья продала дом, купила квартиру (quando, famiglia, ebbe, venduto, casa, comprò, appartamento);Quando la famiglia ebbe venduto la casa, comprò un appartamento
Когда тот самый музыкант написал песню, исполнил (quando, musicista, ebbe, scritto, canzone, la, cantò);Quando il musicista ebbe scritto la canzone, la cantò
Когда мы получили документ, начали работу (quando, avemmo, ricevuto, documento, iniziammo, lavoro);Quando avemmo ricevuto il documento, iniziammo il lavoro
