G014 - Настоящее время регулярных глаголов на -ere
Я читаю (leggere);Leggo
Ты пишешь (scrivere);Scrivi
Мы читаем (leggere);Leggiamo
Вы пишете (scrivere);Scrivete
Они читают (leggere);Leggono
Анна пишет (scrivere);Anna scrive
Марко читает здесь (leggere);Marco legge qui
Я пишу там (scrivere);Scrivo lì
Мы живём здесь (vivere);Viviamo qui
Анна не читает (leggere);Anna non legge
Джулия пишет хорошо (scrivere);Giulia scrive bene
Вы плохо читаете (leggere);Leggete male
Сегодня Паоло не пишет (scrivere, oggi);Oggi Paolo non scrive
