G015 - Расширение основы -isc-
Я понимаю (capire);Capisco
Мы понимаем (capire);Capiamo
Они понимают (capire);Capiscono
Ты понимаешь? (capire);Capisci?
Я не понимаю (capire);Non capisco
Анна понимает (capire);Anna capisce
Вы понимаете? (capire);Capite?
Я заканчиваю сегодня (finire, oggi);Finisco oggi
Анна заканчивает сегодня вечером (finire, stasera);Anna finisce stasera
Мы заканчиваем (finire);Finiamo
Они заканчивают сегодня (finire, oggi);Finiscono oggi
Я убираю здесь (pulire);Pulisco qui
Марко убирает там (pulire);Marco pulisce lì
