G020 - Прямое дополнение без предлога
Я жду Анну (aspettare);Aspetto Anna
Анна слушает Луку (ascoltare);Anna ascolta Luca
Ты ждёшь Джулию (aspettare);Aspetti Giulia
Мы слушаем Паоло (ascoltare);Ascoltiamo Paolo
Вы ждёте Луку (aspettare);Aspettate Luca
Они слушают Анну (ascoltare);Ascoltano Anna
Я смотрю на Марко (guardare);Guardo Marco
Марко сегодня ждёт Анну (aspettare, oggi);Marco aspetta Anna oggi
Я не слушаю Луку (ascoltare);Non ascolto Luca
Я сегодня звоню Анне (chiamare, oggi);Oggi chiamo Anna
Мы ждём Джулию здесь (aspettare);Aspettiamo Giulia qui
Ты помогаешь Марко (aiutare);Aiuti Marco
Анна понимает Луку (capire);Anna capisce Luca
