G021 - Вопрос о прямом объекте: che cosa
Что ты покупаешь? (comprare);Che cosa compri?
Что ты ешь? (mangiare);Che cosa mangi?
Что она читает? (leggere);Che cosa legge?
Что ты пишешь? (scrivere);Che cosa scrivi?
Что готовит Анна? (preparare);Che cosa prepara Anna?
Что вы покупаете? (comprare);Che cosa comprate?
Что они едят? (mangiare);Che cosa mangiano?
Что мы читаем? (leggere);Che cosa leggiamo?
Что открывает Лука? (aprire);Che cosa apre Luca?
Что ты понимаешь? (capire);Che cosa capisci?
Что ты заканчиваешь? (finire);Che cosa finisci?
Что ты берёшь? (prendere);Che cosa prendi?
Что ты не покупаешь сегодня? (comprare);Che cosa non compri oggi?
