G027 - Состояния через avere
Я голоден (avere, fame);Ho fame
Мне холодно (avere, freddo);Ho freddo
Ты хочешь пить? (avere, sete);Hai sete?
Анна хочет спать (avere, sonno);Anna ha sonno
Нам жарко (avere, caldo);Abbiamo caldo
Вам холодно? (avere, freddo);Avete freddo?
Они голодны (avere, fame);Hanno fame
Лука хочет пить (avere, sete);Luca ha sete
Я не хочу спать (avere, sonno);Non ho sonno
Кто голоден? (avere, fame);Chi ha fame?
Сегодня нам жарко (avere, caldo);Oggi abbiamo caldo
Мария не хочет пить (avere, sete);Maria non ha sete
