G032 - Регулярное множественное число существительных
Книга — книги (libro);libro — libri
Дом — дома (casa);casa — case
Ночь — ночи (notte);notte — notti
Стол — столы (tavolo);tavolo — tavoli
День — дни (giorno);giorno — giorni
Мальчик — мальчики (bambino);bambino — bambini
Дверь — двери (porta);porta — porte
Комната — комнаты (stanza);stanza — stanze
Окно — окна (finestra);finestra — finestre
Стул — стулья (sedia);sedia — sedie
Девочка — девочки (bambina);bambina — bambine
Мать — матери (madre);madre — madri
Цветок — цветы (fiore);fiore — fiori
