G042 - Инфинитив: действие без личного окончания
работаю — работать (lavorare);lavoro — lavorare
пою — петь (cantare);canto — cantare
живёшь — жить (abitare);abiti — abitare
слушаем — слушать (ascoltare);ascoltiamo — ascoltare
покупает — покупать (comprare);compra — comprare
смотрите — смотреть (guardare);guardate — guardare
говорят — говорить (parlare);parlano — parlare
работают — работать (lavorare);lavorano — lavorare
поёшь — петь (cantare);canti — cantare
живу — жить (abitare);abito — abitare
слушаю — слушать (ascoltare);ascolto — ascoltare
живём — жить (abitare);abitiamo — abitare
