G044 - Местонахождение через essere
Анна здесь (essere);Anna è qui
Лука там (essere);Luca è lì
Мама здесь (la mamma);La mamma è qui
Папа там (il papà);Il papà è lì
Книга здесь (il libro);Il libro è qui
Дети там (essere, i bambini);I bambini sono lì
Анна не здесь (essere);Anna non è qui
Лука не там (essere);Luca non è lì
Папа здесь? (il papà);Il papà è qui?
Кто здесь? (chi, essere);Chi è qui?
Друзья здесь (gli amici);Gli amici sono qui
Машина там (la macchina);La macchina è lì
Мария и Лука здесь (essere);Maria e Luca sono qui
