G051 - Вежливое обращение Lei
Вы работаете? (lavorare);Lei lavora?
Вы читаете? (leggere);Lei legge?
Вы пишете? (scrivere);Lei scrive?
Вы понимаете? (capire);Lei capisce?
Вы говорите по-итальянски? (parlare, italiano);Lei parla italiano?
Вы покупаете дом? (comprare, una casa);Lei compra una casa?
Вы живёте в городе? (vivere, città);Lei vive in città?
Вы сегодня не работаете? (lavorare);Lei non lavora oggi?
Вы голодны? (avere, fame);Lei ha fame?
Вы итальянка? (essere, italiana);Lei è italiana?
Вы дома? (essere, a casa);Lei è a casa?
Вы можете открыть окно? (potere aprire, la finestra);Lei può aprire la finestra?
Вы преподаёте в школе? (insegnare, scuola);Lei insegna a scuola?
