G053 - Venire в настоящем времени
Я прихожу (venire);Vengo
Они приходят (venire);Vengono
Ты приходишь? (venire);Vieni?
Мы приходим (venire);Veniamo
Ребята, вы приходите? (venire);Ragazzi, venite?
Анна приходит (venire);Anna viene
Я прихожу сюда (venire, qui);Vengo qui
Ты приходишь сюда? (venire, qui);Vieni qui?
Сегодня мы приходим сюда (venire, qui);Oggi veniamo qui
Кто приходит? (venire);Chi viene?
Сегодня дети не приходят (venire);Oggi i bambini non vengono
Ты можешь прийти? (potere venire);Puoi venire?
