G061 - Регулярный participio passato
Покупать — купленный (comprare);comprare — comprato
Продавать — проданный (vendere);vendere — venduto
Заканчивать — законченный (finire);finire — finito
Готовить — приготовленный (preparare);preparare — preparato
Смотреть — посмотренный (guardare);guardare — guardato
Есть — съеденный (mangiare);mangiare — mangiato
Изучать — изученный (studiare);studiare — studiato
Получать — полученный (ricevere);ricevere — ricevuto
Повторять — повторённый (ripetere);ripetere — ripetuto
Находить — найденный (trovare);trovare — trovato
Понимать — понятый (capire);capire — capito
Петь — спетый (cantare);cantare — cantato
Слышать — услышанный (sentire);sentire — sentito
Убирать — убранный (pulire);pulire — pulito
