G063 - Passato prossimo с essere: базовая сборка
Лука приехал (arrivare);Luca è arrivato
Лука уехал (partire);Luca è partito
Марко вернулся домой (tornare, a casa);Marco è tornato a casa
Паоло остался дома (restare, a casa);Paolo è restato a casa
Поезд прибыл (arrivare, il treno);Il treno è arrivato
Марко вошёл в дом (entrare, in casa);Marco è entrato in casa
Паоло вышел (uscire);Paolo è uscito
Лука поехал в Рим (andare, a Roma);Luca è andato a Roma
Поезд не уехал (partire, il treno);Il treno non è partito
Кот вернулся (tornare, il gatto);Il gatto è tornato
Марко приехал в город (arrivare, in città);Marco è arrivato in città
Паоло остался в Риме (restare, a Roma);Paolo è restato a Roma
