G064 - Причастие с essere согласуется с подлежащим
Анна пришла (arrivare);Anna è arrivata
Анна и Лука пришли (arrivare);Anna e Luca sono arrivati
Мария уехала (partire);Maria è partita
Джулия вернулась домой (tornare, a casa);Giulia è tornata a casa
Письмо пришло (arrivare, la lettera);La lettera è arrivata
Машина уехала (partire, la macchina);La macchina è partita
Девушки приехали (arrivare, le ragazze);Le ragazze sono arrivate
Анна и Мария уехали (partire);Anna e Maria sono partite
Лука и Марко вошли в дом (entrare, in casa);Luca e Marco sono entrati in casa
Джулия и Паоло вернулись (tornare);Giulia e Paolo sono tornati
Мария не осталась дома (restare, a casa);Maria non è restata a casa
Девушки вышли (uscire, le ragazze);Le ragazze sono uscite
