G070 - Venire: причастие venuto
Анна пришла (venire);Anna è venuta
Лука пришёл (venire);Luca è venuto
Анна и Лука пришли (venire);Anna e Luca sono venuti
Мария пришла домой (venire, a casa);Maria è venuta a casa
Кто пришёл? (venire);Chi è venuto?
Друзья пришли (venire, gli amici);Gli amici sono venuti
Подруга пришла (venire, l'amica);L'amica è venuta
Марко не пришёл (venire);Marco non è venuto
Девушки пришли (venire, le ragazze);Le ragazze sono venute
Доктор пришёл (venire, il dottore);Il dottore è venuto
Анна и Мария пришли (venire);Anna e Maria sono venute
Лука пришёл в школу (venire, a scuola);Luca è venuto a scuola
