G073 - Продолжающееся действие: ancora
Я ещё работаю (lavorare);Lavoro ancora
Анна ещё спит (dormire);Anna dorme ancora
Мы ещё ждём (aspettare);Aspettiamo ancora
Дети ещё играют (giocare, i bambini);I bambini giocano ancora
Я ещё читаю (leggere);Leggo ancora
Ты ещё работаешь? (lavorare);Lavori ancora?
Марко ещё спит (dormire);Marco dorme ancora
Мама ещё готовит ужин (preparare, la cena);La mamma prepara ancora la cena
Мы ещё живём здесь (abitare);Abitiamo ancora qui
Папа ещё читает газету (leggere, il giornale);Il papà legge ancora il giornale
Вы ещё работаете? (lavorare);Lavorate ancora?
Я ещё жду (aspettare);Aspetto ancora
Анна ещё учится (studiare);Anna studia ancora
