G079 - Меня / тебя / нас / вас: mi / ti / ci / vi
Я жду тебя (aspettare);Ti aspetto
Анна слушает нас (ascoltare);Anna ci ascolta
Ты ждёшь меня (aspettare);Mi aspetti
Мы слушаем вас (ascoltare);Vi ascoltiamo
Анна меня понимает (capire);Anna mi capisce
Я тебя понимаю (capire);Ti capisco
Мама смотрит на нас (guardare, la mamma);La mamma ci guarda
Я смотрю на тебя (guardare);Ti guardo
Мы ждём вас (aspettare);Vi aspettiamo
Ты меня слушаешь (ascoltare);Mi ascolti
Я люблю тебя (amare);Ti amo
Дети слушают тебя (ascoltare, i bambini);I bambini ti ascoltano
Вы меня понимаете? (capire);Mi capite?
