G080 - Действие на себя: возвратные местоимения
Я умываюсь (lavarsi);Mi lavo
Анна умывается (lavarsi);Anna si lava
Ты умываешься (lavarsi);Ti lavi
Мы умываемся (lavarsi);Ci laviamo
Вы умываетесь? (lavarsi);Vi lavate?
Дети умываются (lavarsi, i bambini);I bambini si lavano
Марко причёсывается (pettinarsi);Marco si pettina
Я причёсываюсь (pettinarsi);Mi pettino
Мы причёсываемся (pettinarsi);Ci pettiniamo
Вы причёсываетесь? (pettinarsi);Vi pettinate?
Анна смотрит на себя (guardarsi);Anna si guarda
Ты смотришь на себя? (guardarsi);Ti guardi?
Я смотрю на себя (guardarsi);Mi guardo
