G082 - Местоименный глагол изменения состояния
Я просыпаюсь (svegliarsi);Mi sveglio
Анна встаёт (alzarsi);Anna si alza
Ты просыпаешься рано (svegliarsi, presto)?;Ti svegli presto?
Мы встаём рано (alzarsi, presto);Ci alziamo presto
Ребёнок засыпает (addormentarsi, il bambino);Il bambino si addormenta
Я не просыпаюсь рано (svegliarsi, presto);Non mi sveglio presto
Анна и Марко засыпают поздно (addormentarsi, tardi);Anna e Marco si addormentano tardi
Когда ты встаёшь (alzarsi)?;Quando ti alzi?
Машина останавливается здесь (fermarsi, la macchina, qui);La macchina si ferma qui
Мария злится (arrabbiarsi);Maria si arrabbia
Вы отдыхаете здесь (riposarsi, qui)?;Vi riposate qui?
Поезд останавливается здесь (fermarsi, il treno, qui);Il treno si ferma qui
Они не просыпаются поздно (svegliarsi, tardi);Non si svegliano tardi
