G084 - Назвать своё имя: chiamarsi
Меня зовут Лука (chiamarsi);Mi chiamo Luca
Как тебя зовут (chiamarsi)?;Come ti chiami?
Меня зовут Анна (chiamarsi);Mi chiamo Anna
Как Вас зовут (chiamarsi, Lei)?;Come si chiama?
Его зовут Марко (chiamarsi);Si chiama Marco
Её зовут Джулия (chiamarsi);Si chiama Giulia
Нас зовут Анна и Паоло (chiamarsi);Ci chiamiamo Anna e Paolo
Как вас зовут (chiamarsi)?;Come vi chiamate?
Ребёнка зовут Пьеро (chiamarsi, il bambino);Il bambino si chiama Piero
Тебя зовут Марко (chiamarsi)?;Ti chiami Marco?
Меня зовут не Луиджи (chiamarsi);Non mi chiamo Luigi
Их зовут Мария и Лука (chiamarsi);Si chiamano Maria e Luca
