G091 - Инфинитив как название действия
Работать полезно (lavorare, utile);Lavorare è utile
Читать важно (leggere, importante);Leggere è importante
Спать необходимо (dormire, necessario);Dormire è necessario
Готовить весело (cucinare, divertente);Cucinare è divertente
Отдыхать приятно (riposare, bello);Riposare è bello
Готовить — это работа (cucinare, un lavoro);Cucinare è un lavoro
Покупать книги дорого (comprare, libri);Comprare libri è caro
Пить воду хорошо (bere, acqua, fare bene);Bere acqua fa bene
Говорить по-итальянски трудно (parlare, difficile);Parlare italiano è difficile
Важно ли учиться? (studiare, importante);È importante studiare?
Смотреть телевизор не полезно (guardare, la televisione, utile);Guardare la televisione non è utile
Работать здесь приятно (lavorare, qui, bello);Lavorare qui è bello
