G134 - Кто-то / что-то: qualcuno / qualcosa
Кто-то работает (lavorare);Qualcuno lavora
Я покупаю что-то (comprare);Compro qualcosa
Кто-то читает книгу (leggere, un libro);Qualcuno legge un libro
Я что-то ем (mangiare);Mangio qualcosa
Кто-то пьёт кофе (bere, un caffè);Qualcuno beve un caffè
Мария что-то говорит (dire);Maria dice qualcosa
Кто-то приходит (venire);Qualcuno viene
Я хочу что-то выпить (volere, bere);Voglio bere qualcosa
Ты что-то читаешь (leggere);Leggi qualcosa
У меня есть что-то для Марии (avere, per);Ho qualcosa per Maria
Кто-то купил книгу (comprare, un libro);Qualcuno ha comprato un libro
Кто-то сказал что-то (dire);Qualcuno ha detto qualcosa
