G141 - Время на часах
Сейчас час (essere, l'una);È l'una
Сейчас два часа (essere, le due);Sono le due
Сейчас три часа (essere, le tre);Sono le tre
Сейчас пять часов (essere, le cinque);Sono le cinque
Сейчас семь часов (essere, le sette);Sono le sette
Сейчас двенадцать часов (essere, le dodici);Sono le dodici
Уже час (essere, già, l'una);È già l'una
Уже два часа (essere, già, le due);Sono già le due
Сейчас ещё час (essere, ancora, l'una);È ancora l'una
Ещё не два часа (essere, ancora, le due);Non sono ancora le due
Сейчас не два часа, а три (essere, ma);Non sono le due, ma le tre
