G145 - День и дата как календарное имя
Сегодня понедельник (essere, lunedì);Oggi è lunedì
Сегодня среда (essere, mercoledì);Oggi è mercoledì
Сегодня четверг (essere, giovedì);Oggi è giovedì
Сегодня пятница (essere, venerdì);Oggi è venerdì
Сегодня суббота (essere, sabato);Oggi è sabato
Сегодня воскресенье (essere, domenica);Oggi è domenica
Сегодня уже вторник (essere, già, martedì);Oggi è già martedì
Сегодня не среда (essere, mercoledì);Oggi non è mercoledì
Но сегодня четверг (essere, ma, giovedì);Ma oggi è giovedì
Завтра пятница (essere, domani, venerdì);Domani è venerdì
Вчера была суббота (essere, ieri, sabato);Ieri era sabato
Вчера было воскресенье (essere, ieri, domenica);Ieri era domenica
