G153 - Безличная погода
Сегодня идёт дождь (piovere);Oggi piove
Идёт снег (nevicare);Nevica
Здесь часто идёт дождь (piovere, spesso);Qui piove spesso
В горах идёт снег (nevicare);In montagna nevica
Сегодня не идёт снег (nevicare);Oggi non nevica
Идёт дождь (piovere);Piove
В Риме идёт снег (nevicare);A Roma nevica
Всё ещё идёт снег (nevicare);Nevica ancora
Почему идёт дождь (piovere)?;Perché piove?
Идёт дождь, но я работаю (piovere, ma);Piove, ma lavoro
Здесь никогда не идёт дождь (piovere);Qui non piove mai
