G155 - Который час: che ore sono?
Который час (essere)?;Che ore sono?
Извини, который час? (essere);Scusa, che ore sono?
Анна, который час? (essere);Anna, che ore sono?
Сколько времени (essere)?;Che ora è?
Сейчас три (essere);Sono le tre
Сейчас час (essere);È l'una
Сейчас два (essere);Sono le due
Сейчас пять десять (essere);Le cinque e dieci
Сейчас девять двадцать (essere);Le nove e venti
Уже семь (essere, già);Sono già le sette
Сейчас десять пять (essere);Le dieci e cinque
Который час сейчас (essere)?;Che ore sono adesso?
