G156 - У человека / к человеку: da
Я у Анны (essere);Sono da Anna
Я иду к врачу (andare, il medico);Vado dal medico
Я иду к Анне (andare);Vado da Anna
Мы идём к Марко (andare);Andiamo da Marco
Ты идёшь к зубному (andare, il dentista)?;Vai dal dentista?
Я у парикмахера (essere, il parrucchiere);Sono dal parrucchiere
Анна у Марии (essere);Anna è da Maria
Лука у нас (essere);Luca è da noi
Мы у друзей (essere, gli amici);Siamo dagli amici
Дети у друзей (essere, i bambini);I bambini sono dagli amici
Вы идёте к Марии (andare)?;Lei va da Maria?
