G164 - Погода через fare
Сегодня холодно (fare, freddo);Oggi fa freddo
Сегодня жарко (fare, caldo);Oggi fa caldo
Вчера было холодно (fare, freddo);Ieri faceva freddo
Завтра будет жарко (fare, caldo);Domani fa caldo
Вечером прохладно (fare, fresco);La sera fa fresco
Почему жарко (fare, caldo, perché)?;Perché fa caldo?
В Риме тоже холодно (fare, freddo, anche)?;Fa freddo anche a Roma?
Ночью холодно (fare, freddo);Stanotte fa freddo
Дома жарко (fare, caldo);A casa fa caldo
Холодно и идёт дождь (fare, freddo, piovere);Fa freddo e piove
Сегодня не жарко (fare, caldo);Oggi non fa caldo
