G174 - Команда одному собеседнику: -are
Работай! (lavorare);Lavora!
Покупай книгу! (comprare, il libro);Compra il libro!
Говори с Анной! (parlare, Anna);Parla con Anna!
Смотри! (guardare);Guarda!
Ешь хлеб! (mangiare, il pane);Mangia il pane!
Жди здесь! (aspettare, qui);Aspetta qui!
Слушай маму! (ascoltare, la mamma);Ascolta la mamma!
Учи слова! (studiare, le parole);Studia le parole!
Ищи ключ! (cercare, la chiave);Cerca la chiave!
Возвращайся домой! (tornare, a casa);Torna a casa!
Заходи в дом! (entrare, in casa);Entra in casa!
Играй с детьми! (giocare, i bambini);Gioca con i bambini!
