G176 - Регулярная форма gerundio
Работать — работая (lavorare);lavorare — lavorando
Читать — читая (leggere);leggere — leggendo
Спать — спя (dormire);dormire — dormendo
Покупать — покупая (comprare);comprare — comprando
Говорить — говоря (parlare);parlare — parlando
Смотреть — смотря (guardare);guardare — guardando
Кушать — кушая (mangiare);mangiare — mangiando
Убирать — убирая (pulire);pulire — pulendo
Заканчивать — заканчивая (finire);finire — finendo
Открывать — открывая (aprire);aprire — aprendo
Закрывать — закрывая (chiudere);chiudere — chiudendo
Искать — ища (cercare);cercare — cercando
