G178 - Запрет одному собеседнику: non + infinito
Не работай! (lavorare);Non lavorare!
Не покупай книгу! (comprare, il libro);Non comprare il libro!
Не спи! (dormire);Non dormire!
Не читай газету! (leggere, il giornale);Non leggere il giornale!
Не ешь торт! (mangiare, la torta);Non mangiare la torta!
Не открывай окно! (aprire, la finestra);Non aprire la finestra!
Не закрывай дверь! (chiudere, la porta);Non chiudere la porta!
Не жди Анну! (aspettare, Anna);Non aspettare Anna!
Не говори с Марией! (parlare, Maria);Non parlare con Maria!
Не играй здесь! (giocare, qui);Non giocare qui!
Не продавай дом! (vendere, la casa);Non vendere la casa!
Не кури! (fumare);Non fumare!
Не пей кофе! (bere, il caffè);Non bere il caffè!
